"","Paper_id","Group_RV","main_group","group_metric","Group_finelevel","summary_statement2"
"25",4,"Pest Regulation","Weeds","Weed community (abundance of weeds)","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. The cover crop treatments tested had no effect on weed density in either the headlands or non-headlands compared to winter fallow."
"26",4,"Soil","Chemical","Ammonium (Preplant)","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""There was no effect of field area or cover crop treatments on available nitrogen (ammonium & nitrate)."""
"27",4,"Soil","Chemical","Ammonium (Preplant)","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""There was no effect of field area or cover crop treatments on available nitrogen (ammonium & nitrate)."""
"28",4,"Soil","Chemical","Ammonium (Preplant)","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""There was no effect of field area or cover crop treatments on available nitrogen (ammonium & nitrate)."""
"29",4,"Soil","Chemical","Nitrate (Preplant)","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. There was no effect of cover crop treatment or field location (headland & non-headland) on soil nitrogen (nitrate & ammonium)."
"30",4,"Soil","Chemical","Nitrate (Preplant)","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. There was no effect of cover crop treatment or field location (headland & non-headland) on soil nitrogen (nitrate & ammonium)."
"31",4,"Soil","Chemical","Nitrate (Preplant)","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. There was no effect of cover crop treatment or field location (headland & non-headland) on soil nitrogen (nitrate & ammonium)."
"32",4,"Soil","Chemical","pH","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. pH was consistently unaffected by the inclusion of winter cover crops."
"33",4,"Soil","Chemical","pH","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. pH was consistently unaffected by the inclusion of winter cover crops."
"34",4,"Soil","Chemical","pH","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. pH was consistently unaffected by the inclusion of winter cover crops."
"35",4,"Soil","Chemical","Phosphorous","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Forage radish and forage radish mixed with buckwheat as cover crops had no effect on plant available phosphorous compared to winter fallow. The only cover crop treatment to reduce plant available phosphorous levels was the three way mixture of forage radish, hairy vetch, and cereal rye."
"36",4,"Soil","Chemical","Phosphorous","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Forage radish and forage radish mixed with buckwheat as cover crops had no effect on plant available phosphorous compared to winter fallow. The only cover crop treatment to reduce plant available phosphorous levels was the three way mixture of forage radish, hairy vetch, and cereal rye."
"37",4,"Soil","Chemical","Phosphorous","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Forage radish and forage radish mixed with buckwheat as cover crops had no effect on plant available phosphorous compared to winter fallow. The only cover crop treatment to reduce plant available phosphorous levels was the three way mixture of forage radish, hairy vetch, and cereal rye."
"38",4,"Soil","Chemical","Soil Carbon, 0-75 cm depth","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Cover crops did not influence total carbon stocks in the soils in either headlands or non-headlands. There were measurable increases in total carbon within the headlands relative to the non-headlands areas in the spring and up  40 cm in depth, but these gains were not statistically significant (p = 0.1005)."
"39",4,"Soil","Chemical","Soil Carbon, 0-75 cm depth","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Cover crops did not influence total carbon stocks in the soils in either headlands or non-headlands. There were measurable increases in total carbon within the headlands relative to the non-headlands areas in the spring and up  40 cm in depth, but these gains were not statistically significant (p = 0.1005)."
"40",4,"Soil","Chemical","Soil Carbon, 0-75 cm depth","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Cover crops did not influence total carbon stocks in the soils in either headlands or non-headlands. There were measurable increases in total carbon within the headlands relative to the non-headlands areas in the spring and up  40 cm in depth, but these gains were not statistically significant (p = 0.1005)."
"41",4,"Soil","Physical","Compaction","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""Cover crop treatment of forage radish, hairy vetch, cereal rye seemed to increase the penetration resistance slightly within the non-headlands areas in comparison with the other treatments likely related to the cover crops still growing and extracting water from the profile at the time of measurement."""
"42",4,"Soil","Physical","Compaction","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""Cover crop treatment of forage radish, hairy vetch, cereal rye seemed to increase the penetration resistance slightly within the non-headlands areas in comparison with the other treatments likely related to the cover crops still growing and extracting water from the profile at the time of measurement."""
