"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_trtspecifics","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt1_name","Trt1_details","Trt2_name","Trt2_details","group_level1","group_level2","group_level3","nutrient_groups","Review"
69,121,"2012-2","5","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.27,"1",NA,"",0.21,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
70,121,"2012-2","5","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.27,"2",NA,"",0.22,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
71,121,"2012-2","5","agronomic efficiency","","","1","bu/lb N","","mean","1",NA,NA,0.21,"2",NA,"",0.22,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
72,121,"2012-2","6","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.21,"1",NA,"",0.31,"0.063","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
73,121,"2012-2","6","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.21,"2",NA,"",0.18,"0.063","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
74,121,"2012-2","6","agronomic efficiency","","","1","bu/lb N","","mean","1",NA,NA,0.31,"2",NA,"",0.18,"0.063","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
75,121,"2012-2","1","agronomic efficiency","","","2","bu/lb N","","mean","0",NA,NA,0.32,"1",NA,"",0.2,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
76,121,"2012-2","1","agronomic efficiency","","","2","bu/lb N","","mean","0",NA,NA,0.32,"2",NA,"",0.18,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
77,121,"2012-2","1","agronomic efficiency","","","2","bu/lb N","","mean","1",NA,NA,0.2,"2",NA,"",0.18,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
78,121,"2012-2","1","agronomic efficiency","","","2","bu/lb N","","mean","0",NA,NA,0.21,"1",NA,"",0.15,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
79,121,"2012-2","1","agronomic efficiency","","","2","bu/lb N","","mean","0",NA,NA,0.21,"2",NA,"",0.14,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
80,121,"2012-2","1","agronomic efficiency","","","2","bu/lb N","","mean","1",NA,NA,0.15,"2",NA,"",0.14,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
81,121,"2012-2","2","agronomic efficiency","","","2","bu/lb N","","mean","0",NA,NA,0.61,"1",NA,"",0.41,"0.02","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
82,121,"2012-2","2","agronomic efficiency","","","2","bu/lb N","","mean","0",NA,NA,0.61,"2",NA,"",0.4,"0.02","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
83,121,"2012-2","2","agronomic efficiency","","","2","bu/lb N","","mean","1",NA,NA,0.41,"2",NA,"",0.4,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
