uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,title_lower
WOS:000470824300005,Interspecific variation in crop and weed responses to arbuscular mycorrhizal fungal community highlights opportunities for weed biocontrol,APPLIED SOIL ECOLOGY,NA,142,34-42,OCT,2019,"Li, Meng | Jordan, Nicholas R. | Koide, Roger T. | Yannarell, Anthony C. | Davis, Adam S.",Arbuscular mycorrhizal fungi | Integrated weed management | Plant-microbe interactions | Mycorrhizal community structure | Network analysis,10.1016/j.apsoil.2019.05.016,NA,IC2XW,0929-1393,NA,interspecific variation in crop and weed responses to arbuscular mycorrhizal fungal community highlights opportunities for weed biocontrol
WOS:000426023800014,Linking crop- and soil-based approaches to evaluate system nitrogen-use efficiency and tradeoffs,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,256,131-143,MAR 15,2018,"Martinez-Feria, Rafael A. | Castellano, Michael J. | Dietzel, Ranae N. | Helmers, Matt J. | Liebman, Matt | Huber, Isaiah | Archontoulis, Sotirios V.",Nitrogen-use efficiency | Nutrient cycling | Environmental impacts | Cover crops | APSIM,10.1016/j.agee.2018.01.002,NA,FX4DV,0167-8809,NA,linking crop- and soil-based approaches to evaluate system nitrogen-use efficiency and tradeoffs
WOS:000461456000021,Suppression of Annual Ryegrass in Corn with Nicosulfuron,WEED TECHNOLOGY,1,33,173-177,FEB,2019,"Cholette, Taiga B. | Soltani, Nader | Hooker, David C. | Robinson, Darren E. | Sikkema, Peter H.","Amit Jhala, University of Nebraska, Lincoln | Nicosulfuron | annual ryegrass, Lolium multiflorum Lam. | corn, Zea mays L. | Biomass | red clover | suppression | interseeding",10.1017/wet.2018.106,NA,HP1VH,0890-037X,NA,suppression of annual ryegrass in corn with nicosulfuron
WOS:000475243800001,"Rationale and Motivation of Agricultural Producers in Adopting Crop Rotation in the Northern Great Plains, USA",INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY,4,17,287-297,JUL 4,2019,"Kasu, Bishal B. | Jacquet, Jeffrey | Junod, Anne | Kumar, Sandeep | Wang, Tong",Cropping system | adoption | logistic regression | decision making | best management practice | the Northern Great Plains,10.1080/14735903.2019.1633900,NA,IM1CK,1473-5903,NA,"rationale and motivation of agricultural producers in adopting crop rotation in the northern great plains, usa"
WOS:000466151100010,Soil Conservation Practice Adoption in the Northern Great Plains: Economic versus Stewardship Motivations,JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,2,44,404-421,MAY,2019,"Wang, Tong | Jin, Hailong | Kasu, Bishal B. | Jacquet, Jeffrey | Kumar, Sandeep",adoption behavior | diversified crop rotation (DCR) | integrated cropping and livestock system (ICLS) | monetary incentive | soil health,NA,NA,HV7HC,1068-5502,NA,soil conservation practice adoption in the northern great plains: economic versus stewardship motivations
WOS:000461665600001,"Satellite detection of cover crops and their effects on crop yield in the Midwestern United States (vol 13, 064033, 2018)",ENVIRONMENTAL RESEARCH LETTERS,3,14,,MAR,2019,"Seifert, Christopher A. | Azzari, George | Lobell, David B.",,10.1088/1748-9326/aaf933,NA,HP4SE,1748-9326,NA,"satellite detection of cover crops and their effects on crop yield in the midwestern united states (vol 13, 064033, 2018)"
WOS:000448960700014,Impacts of Early- and Late-Terminated Cover Crops on Gas Fluxes,JOURNAL OF ENVIRONMENTAL QUALITY,6,47,1426-1435,NOV-DEC,2018,"Ruis, Sabrina J. | Blanco-Canqui, Humberto | Jasa, Paul J. | Ferguson, Richard B. | Slater, Glen",,10.2134/jeq2018.02.0066,NA,GY9JS,0047-2425,NA,impacts of early- and late-terminated cover crops on gas fluxes
WOS:000457504200030,"Significant variation for seed oil content, fatty acid profile, and seed weight in natural populations of field pennycress (Thlaspi arvense L.)",INDUSTRIAL CROPS AND PRODUCTS,NA,129,261-268,MAR,2019,"Altendorf, Kayla | Isbell, Terry | Wyse, Donald L. | Anderson, James A.",Pennycress | Fatty acid profile | Oil content | Germplasm | Variation | Heritability,10.1016/j.indcrop.2018.11.054,NA,HJ9FM,0926-6690,NA,"significant variation for seed oil content, fatty acid profile, and seed weight in natural populations of field pennycress (thlaspi arvense l.)"
WOS:000486919900006,Using Spatially Targeted Conservation to Evaluate Nitrogen Reduction and Economic Opportunities for Best Management Practice Placement in Agricultural Landscapes,ENVIRONMENTAL MANAGEMENT,3,64,313-328,SEP,2019,"Zimmerman, Emily K. | Tyndall, John C. | Schulte, Lisa A.",Water quality | Best management practices | Spatially targeted conservation | Landscape planning | US Cornbelt,10.1007/s00267-019-01190-7,NA,IZ2MH,0364-152X,NA,using spatially targeted conservation to evaluate nitrogen reduction and economic opportunities for best management practice placement in agricultural landscapes
WOS:000456899400007,The adaptable use of Brassica NIRS calibration equations to identify pennycress variants to facilitate the rapid domestication of a new winter oilseed crop,INDUSTRIAL CROPS AND PRODUCTS,NA,128,55-61,FEB,2019,"Chopra, Ratan | Folstad, Nicole | Lyons, Joseph | Ulmasov, Tim | Gallaher, Cynthia | Sullivan, Liam | McGovern, Abby | Mitacek, Rachel | Frels, Katherine | Altendorf, Kayla | Killam, Arthur | Ismail, Baraem | Anderson, James A. | Wyse, Donald L. | Marks, M. David",Pennycress | Biofuel | Cover crop | NIRS | Fatty acid | Seed composition,10.1016/j.indcrop.2018.10.079,NA,HJ1CL,0926-6690,NA,the adaptable use of brassica nirs calibration equations to identify pennycress variants to facilitate the rapid domestication of a new winter oilseed crop
WOS:000426506100024,Extreme weather-year sequences have nonadditive effects on environmental nitrogen losses,GLOBAL CHANGE BIOLOGY,1,24,E303-E317,JAN,2018,"Iqbal, Javed | Necpalova, Magdalena | Archontoulis, Sotirios V. | Anex, Robert P. | Bourguignon, Marie | Herzmann, Daryl | Mitchell, David C. | Sawyer, John E. | Zhu, Qing | Castellano, Michael J.",climate change | crop phase | crop system | extreme precipitation | nitrate | nitrous oxide,10.1111/gcb.13866,NA,FY0MR,1354-1013,NA,extreme weather-year sequences have nonadditive effects on environmental nitrogen losses
WOS:000465932600001,Effect of cereal rye and hairy vetch on pest suppression and corn yield,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,9,50,1093-1105,MAY 15,2019,"Bashyal, Mahesh | Ferguson, J. Connor | Perez-Hernandez, Oscar | Hoilett, Nigel",Cereal rye | hairy vetch | termination timing | pest damage,10.1080/00103624.2019.1603309,NA,IL9WH,0010-3624,NA,effect of cereal rye and hairy vetch on pest suppression and corn yield
WOS:000437916100001,"Strip-tillage reduces productivity in organically managed grain and forage cropping systems in the Upper Midwest, USA",RENEWABLE AGRICULTURE AND FOOD SYSTEMS,4,33,309-321,AUG,2018,"Weyers, Sharon L. | Archer, David W. | Forcella, Frank | Gesch, Russ | Johnson, Jane M. F.",conservation agriculture | crop rotation | reduced tillage | diversity | weed management,10.1017/S1742170517000084,NA,GM2LC,1742-1705,NA,"strip-tillage reduces productivity in organically managed grain and forage cropping systems in the upper midwest, usa"
WOS:000423707600018,Vulnerability of crops and croplands in the US Northern Plains to predicted climate change,CLIMATIC CHANGE,1-2,146,219-230,JAN,2018,"Wienhold, Brian J. | Vigil, Merle F. | Hendrickson, John R. | Derner, Justin D.",,10.1007/s10584-017-1989-x,NA,FU2VH,0165-0009,NA,vulnerability of crops and croplands in the us northern plains to predicted climate change
