"","Review_id","main_group","group_metric","Legend_1","Legend_2","Legend_3","mean_per_change","sem_per_change","num_papers","num_comparisons","Group_RV","Review","mean_abundance_change","sem_abundance_change"
"24","Seed Protection","Crop Yield","Grain Yield (Maize)","Soil","Insecticide","In-Row",-0.311809272256743,0.674513758986756,1,63,"Crop Production","Early Season Pest Management",NA,NA
"25","Seed Protection","Crop Yield","Grain Yield (Soybean)","Foliage","Insecticide","",0.0199227807987656,1.16741579514362,5,40,"Crop Production","Early Season Pest Management",NA,NA
"26","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed","Fungicide","",3.41203850093487,2.03584260622575,5,81,"Crop Production","Early Season Pest Management",NA,NA
"27","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed","Fungicide-Biologic","",14.6577255153704,16.5297472988967,1,2,"Crop Production","Early Season Pest Management",NA,NA
"28","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed","Insecticide","",7.56593981564714,9.99113698834023,6,31,"Crop Production","Early Season Pest Management",NA,NA
"29","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed","Insecticide-Fungicide","",1.79504203951613,0.519032266098327,4,33,"Crop Production","Early Season Pest Management",NA,NA
"30","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed","Insecticide-Fungicide-Nematicide","",2.49653374428352,0.821994460487461,1,4,"Crop Production","Early Season Pest Management",NA,NA
"31","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed & Foliage","Insecticide","",0.675936884069495,2.10512050856056,2,10,"Crop Production","Early Season Pest Management",NA,NA
"32","Seed Protection","Crop Yield","Grain Yield (Soybean)","Soil","Insecticide","In-Row",2.15754552726931,2.09593885723268,1,4,"Crop Production","Early Season Pest Management",NA,NA
"33","Seed Protection","Stand Density","Maize Lodging (#)","Seed","Insecticide","",-33.3333333333333,21.0818510677892,1,6,"Crop Production","Early Season Pest Management",-17.1666666666667,12.972834865381
"34","Seed Protection","Stand Density","Soybean Lodging (Scored 1 = no lodging to 5 = completely lodged)","Seed","Fungicide","",0,0,1,3,"Crop Production","Early Season Pest Management",NA,NA
"35","Seed Protection","Stand Density","Stand Count (Maize)","Seed","Fungicide","",-2.72294901459198,7.20866991414032,2,11,"Crop Production","Early Season Pest Management",NA,NA
"36","Seed Protection","Stand Density","Stand Count (Maize)","Seed","Insecticide-Fungicide","",1.24844773445048,1.72923590735425,1,16,"Crop Production","Early Season Pest Management",NA,NA
"37","Seed Protection","Stand Density","Stand Count (Soybean)","Seed","Fungicide","",11.318267442169,4.5665488882528,4,84,"Crop Production","Early Season Pest Management",NA,NA
"38","Seed Protection","Stand Density","Stand Count (Soybean)","Seed","Fungicide-Biologic","",15.3847599990516,9.65821455080434,1,12,"Crop Production","Early Season Pest Management",NA,NA
"39","Seed Protection","Stand Density","Stand Count (Soybean)","Seed","Insecticide","",-6.00995732574679,2.99149874384408,1,4,"Crop Production","Early Season Pest Management",NA,NA
"40","Seed Protection","Stand Density","Stand Count (Soybean)","Seed","Insecticide-Fungicide","",10.195243945244,3.04306131874618,1,4,"Crop Production","Early Season Pest Management",NA,NA
"41","Seed Protection","Stand Density","Stand Count (Soybean)","Seed","Insecticide-Fungicide-Nematicide","",16.3816251316251,2.01628601511942,1,4,"Crop Production","Early Season Pest Management",NA,NA
"42","Seed Protection","Stand Density","Stand Count (Soybean)","Soil","Insecticide","In-Row",-14.0469416785206,2.36435232612397,1,4,"Crop Production","Early Season Pest Management",NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,1,6,"Crop Production","Early Season Pest Management",NA,NA
