"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt_1name","Trt1_details","Trt_2name","Trt2_details","group_level1","group_level2","group_level3","pm_group1","pm_group2","Review"
"595",87,"2007-1",1,"mesocotyl rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,2,NA,"1.1",1,2,NA,0.3,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"596",87,"2007-1",2,"mesocotyl rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,2,NA,"2.2",1,2,NA,0.8,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"597",87,"2007-1",1,"crown rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,2,NA,"1.5",1,2,NA,1.3,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"598",87,"2007-1",2,"crown rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,2,NA,"2.1",1,2,NA,1.3,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"599",87,"2007-1",1,"stalk rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,4,NA,"2.6",1,4,NA,1.2,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"600",87,"2007-1",2,"stalk rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,4,NA,"2.8",1,4,NA,1.5,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"601",87,"2007-1",1,"incidence of Fusarium infection at V2 stage",NA,"1","%","Tukey","mean",0,2,NA,"48.6",1,2,NA,22.1,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"602",87,"2007-1",2,"incidence of Fusarium infection at V2 stage",NA,"1","%","Tukey","mean",0,2,NA,"56.4",1,2,NA,19.3,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"603",87,"2007-1",1,"maize root rot index at V4 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,3,NA,"2.6",1,3,NA,2.6,"ns","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of roots)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"604",87,"2007-1",2,"maize root rot index at V4 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,3,NA,"1.6",1,3,NA,2,"ns","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of roots)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"605",87,"2007-1",1,"mesocotyl rot index at V4 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,3,NA,"2.7",1,3,NA,2.1,"ns","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"606",87,"2007-1",2,"mesocotyl rot index at V4 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,3,NA,"2",1,3,NA,1.4,"ns","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"607",87,"2007-1",1,"crown rot index at V4 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,3,NA,"2",1,3,NA,1.3,"0.05","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"608",87,"2007-1",2,"crown rot index at V4 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,3,NA,"1.8",1,3,NA,1,"0.05","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"609",87,"2007-1",1,"incidence of Fusarium infection at V4 stage",NA,"1","%","Tukey","mean",0,3,NA,"74.3",1,3,NA,37.1,"0.05","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"610",87,"2007-1",2,"incidence of Fusarium infection at V4 stage",NA,"1","%","Tukey","mean",0,3,NA,"81.4",1,3,NA,51.4,"0.05","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"611",87,"2007-1",1,"incidence of Fusarium infection at V6 stage",NA,"1","%","Tukey","mean",0,4,NA,"100",1,4,NA,47.5,"0.05","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"612",87,"2007-1",2,"incidence of Fusarium infection at V6 stage",NA,"1","%","Tukey","mean",0,4,NA,"97.5",1,4,NA,52.5,"0.05","untreated_seedIF","untreated","untreated maize sampled at V4 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V4 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"613",91,"2003-2",1,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"37",2,NA,NA,31,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"614",91,"2003-2",2,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"43",2,NA,NA,33,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"615",91,"2003-2",3,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"46",2,NA,NA,49,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"616",91,"2003-2",4,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"46",2,NA,NA,44,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"617",91,"2003-2",5,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"Not Determined",2,NA,NA,NA,"Not Determined","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"618",91,"2003-2",6,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"53",2,NA,NA,44,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"619",91,"2003-2",7,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"28",2,NA,NA,41,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"620",91,"2003-2",1,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"42",2,NA,NA,48,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"621",91,"2003-2",8,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"14",2,NA,NA,45,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"622",91,"2003-2",2,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"39",2,NA,NA,50,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"623",91,"2003-2",3,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"12",2,NA,NA,22,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"624",91,"2003-2",4,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"32",2,NA,NA,32,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"625",91,"2003-2",5,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"Not Determined",2,NA,NA,NA,"Not Determined","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"626",91,"2003-2",6,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"49",2,NA,NA,43,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"627",91,"2003-2",1,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"37",3,NA,NA,28,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"628",91,"2003-2",2,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"43",3,NA,NA,43,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"629",91,"2003-2",3,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"46",3,NA,NA,49,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"630",91,"2003-2",4,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"46",3,NA,NA,46,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"631",91,"2003-2",5,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"Not Determined",3,NA,NA,NA,"Not Determined","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"632",91,"2003-2",6,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"53",3,NA,NA,44,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"633",91,"2003-2",7,"soybean stand count",NA,"1","plants/sq m","LSM","mean",0,NA,NA,"28",3,NA,NA,37,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"634",91,"2003-2",1,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"42",3,NA,NA,45,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"635",91,"2003-2",8,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"14",3,NA,NA,26,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"636",91,"2003-2",2,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"39",3,NA,NA,53,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"637",91,"2003-2",3,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"12",3,NA,NA,20,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"638",91,"2003-2",4,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"32",3,NA,NA,32,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"639",91,"2003-2",5,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"Not Determined",3,NA,NA,NA,"Not Determined","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"640",91,"2003-2",6,"soybean stand count",NA,"2","plants/sq m","LSM","mean",0,NA,NA,"49",3,NA,NA,45,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management"
"641",92,"2001-1",1,"Fusarium solani soil colony forming unit (0-15 cm depth)",NA,"1","CFU x 10^2","Duncans","mean",0,2,NA,"25",1,2,NA,30,"ns","untreated_seedFbio","untreated","untreated soybean (chisel plow)","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Pests","Pathogens","Soybeans (pathogens in soil)","Fungicide","Seed","Early Season Pest Management"
"642",92,"2001-1",2,"Fusarium solani soil colony forming unit (0-15 cm depth)",NA,"1","CFU x 10^2","Duncans","mean",0,2,NA,"11",1,2,NA,13,"ns","untreated_seedFbio","untreated","untreated soybean (chisel plow)","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Pests","Pathogens","Soybeans (pathogens in soil)","Fungicide","Seed","Early Season Pest Management"
"643",92,"2001-1",1,"Fusarium oxysporium soil colony forming unit (0-15 cm depth)",NA,"1","CFU x 10^2","Duncans","mean",0,2,NA,"30",1,2,NA,34,"ns","untreated_seedFbio","untreated","untreated soybean (chisel plow)","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Pests","Pathogens","Soybeans (pathogens in soil)","Fungicide","Seed","Early Season Pest Management"
