Res_key,Review_id,Paper_id,Duration,Loc_multi_results,Response_var,RV_trtspecifics,RV_depth,RV_year,Response_var_units,Stat_test,Stat_type,Trt1,Trt1_int,Trt1_int2,Trt1_value,Trt2,Trt2_int,Trt2_int2,Trt2_value,significance,finelevel_group,Trt1_name,Trt1_details,Trt2_name,Trt2_details,Tillage_1,Tillage_2,group_level1,group_level2,group_level3,per_change,actual_diff,sample_depth,sample_year,nutrient_groups,Trt_1name,Trt_2name,Trt_compare,Review
10,,120,2008-2,2,maize grain yield,,,2,Mg/kg,LSD,mean,0,3,NA,13.72,1,3,,13.34,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Grain Yields,Corn,-2.7696793,-0.38,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
11,,120,2008-2,3,maize grain yield,,,2,Mg/kg,LSD,mean,0,2,NA,15.88,1,2,,15.91,ns,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Grain Yields,Corn,0.188916877,0.03,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
12,,120,2008-2,3,maize grain yield,,,2,Mg/kg,LSD,mean,0,3,NA,15.31,1,3,,15.37,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Grain Yields,Corn,0.391900718,0.06,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
13,,120,2008-2,1,maize grain nitrogen uptake,,,1,kg/ha,LSD,mean,0,2,NA,206,1,2,,217,0.001,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Grain Quality,Corn nitrogen uptake,5.339805825,11,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
14,,120,2008-2,1,maize grain nitrogen uptake,,,1,kg/ha,LSD,mean,0,3,NA,204,1,3,,211,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Grain Quality,Corn nitrogen uptake,3.431372549,7,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
15,,120,2008-2,2,maize grain nitrogen uptake,,,2,kg/ha,LSD,mean,0,2,NA,176,1,2,,175,ns,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Grain Quality,Corn nitrogen uptake,-0.568181818,-1,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
16,,120,2008-2,2,maize grain nitrogen uptake,,,2,kg/ha,LSD,mean,0,3,NA,182,1,3,,174,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Grain Quality,Corn nitrogen uptake,-4.395604396,-8,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
17,,120,2008-2,3,maize grain nitrogen uptake,,,2,kg/ha,LSD,mean,0,2,NA,192,1,2,,198,ns,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Grain Quality,Corn nitrogen uptake,3.125,6,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
18,,120,2008-2,3,maize grain nitrogen uptake,,,2,kg/ha,LSD,mean,0,3,NA,192,1,3,,197,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Grain Quality,Corn nitrogen uptake,2.604166667,5,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
21,,121,2012-2,1,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,104,1,NA,,96,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,-7.692307692,-8,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
22,,121,2012-2,1,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,104,2,NA,,99,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,-4.807692308,-5,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
24,,121,2012-2,2,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,141,1,NA,,143,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,1.418439716,2,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
25,,121,2012-2,2,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,141,2,NA,,144,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,2.127659574,3,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
27,,121,2012-2,3,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,159,1,NA,,177,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,11.32075472,18,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
28,,121,2012-2,3,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,159,2,NA,,171,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,7.547169811,12,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
30,,121,2012-2,4,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,149,1,NA,,160,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,7.382550336,11,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
31,,121,2012-2,4,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,149,2,NA,,171,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,14.76510067,22,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
33,,121,2012-2,5,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,113,1,NA,,105,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,-7.079646018,-8,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
34,,121,2012-2,5,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,105,2,NA,,113,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,7.619047619,8,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
36,,121,2012-2,6,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,72,1,NA,,96,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,33.33333333,24,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
37,,121,2012-2,6,maize grain yield,,,1,bu/ac,,mean,0,NA,NA,72,2,NA,,85,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,18.05555556,13,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
39,,121,2012-2,1,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,182,1,NA,,166,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,-8.791208791,-16,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
40,,121,2012-2,1,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,182,2,NA,,172,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,-5.494505495,-10,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
42,,121,2012-2,1,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,88,1,NA,,83,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,-5.681818182,-5,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
43,,121,2012-2,1,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,88,2,NA,,88,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,0,0,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
45,,121,2012-2,2,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,197,1,NA,,187,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,-5.076142132,-10,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
46,,121,2012-2,2,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,197,2,NA,,196,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,-0.507614213,-1,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
48,,121,2012-2,3,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,211,1,NA,,224,0.005,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,6.161137441,13,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
49,,121,2012-2,3,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,211,2,NA,,236,0.005,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,11.84834123,25,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
51,,121,2012-2,4,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,143,1,NA,,140,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,-2.097902098,-3,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
52,,121,2012-2,4,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,143,2,NA,,132,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,-7.692307692,-11,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
54,,121,2012-2,5,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,165,1,NA,,174,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Grain Yields,Corn,5.454545455,9,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
55,,121,2012-2,5,maize grain yield,,,2,bu/ac,,mean,0,NA,NA,165,2,NA,,175,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Grain Yields,Corn,6.060606061,10,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
57,,121,2012-2,1,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.07,1,NA,,0.03,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-57.14285714,-0.04,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
58,,121,2012-2,1,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.07,2,NA,,0.03,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-57.14285714,-0.04,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
60,,121,2012-2,2,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.17,1,NA,,0.19,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,11.76470588,0.02,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
61,,121,2012-2,2,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.17,2,NA,,0.19,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,11.76470588,0.02,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
63,,121,2012-2,3,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.08,1,NA,,0.19,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,137.5,0.11,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
64,,121,2012-2,3,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.08,2,NA,,0.14,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,75,0.06,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
66,,121,2012-2,4,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.52,1,NA,,0.58,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,11.53846154,0.06,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
67,,121,2012-2,4,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.52,2,NA,,0.49,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-5.769230769,-0.03,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
69,,121,2012-2,5,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.27,1,NA,,0.21,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-22.22222222,-0.06,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
70,,121,2012-2,5,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.27,2,NA,,0.22,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-18.51851852,-0.05,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
72,,121,2012-2,6,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.21,1,NA,,0.31,0.063,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,47.61904762,0.1,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
73,,121,2012-2,6,agronomic efficiency,,,1,bu/lb N,,mean,0,NA,NA,0.21,2,NA,,0.18,0.063,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-14.28571429,-0.03,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
75,,121,2012-2,1,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.32,1,NA,,0.2,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-37.5,-0.12,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
76,,121,2012-2,1,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.32,2,NA,,0.18,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-43.75,-0.14,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
78,,121,2012-2,1,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.21,1,NA,,0.15,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-28.57142857,-0.06,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
79,,121,2012-2,1,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.21,2,NA,,0.14,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-33.33333333,-0.07,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
81,,121,2012-2,2,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.61,1,NA,,0.41,0.02,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-32.78688525,-0.2,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
82,,121,2012-2,2,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.61,2,NA,,0.4,0.02,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-34.42622951,-0.21,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
84,,121,2012-2,3,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.74,1,NA,,0.55,0.002,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-25.67567568,-0.19,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
85,,121,2012-2,3,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.74,2,NA,,0.54,0.002,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-27.02702703,-0.2,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
87,,121,2012-2,4,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.37,1,NA,,0.34,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-8.108108108,-0.03,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
88,,121,2012-2,4,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.37,2,NA,,0.2,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,-45.94594595,-0.17,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
90,,121,2012-2,5,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.14,1,NA,,0.2,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate split application strategy,variable rate split application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,42.85714286,0.06,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
91,,121,2012-2,5,agronomic efficiency,,,2,bu/lb N,,mean,0,NA,NA,0.14,2,NA,,0.15,ns,uniform_variable,spring with variable rate,spring applied fertilizer with variable rate at V10,variable rate rescue application strategy,variable rate rescue application strategy,,,Crop Yields,Crop Nutrient Content,Crop nitrogen use efficiency,7.142857143,0.01,NA,,Fertilizer Placement,Broadcast,Variable Rate Application,,Nutrient Management
118,,124,2010-2,0,maize nitrogen uptake,,,1,kg N/ha,Scheffe,mean,0,2,5,121,1,2,5,117,ns,preplant_V6,"preemergence, 0 kg N/ha, without nitrapyrin inhibitor","preemergence, 0 kg N/ha, without nitrapyrin inhibitor","sidedress, 0 kg N/ha, without nitrapyrin inhibitor","sidedress, 0 kg N/ha, without nitrapyrin inhibitor",,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-3.305785124,-4,NA,,Application Timing,Preplant,Early Season,,Nutrient Management
118,,124,2010-2,0,maize nitrogen uptake,,,2,kg N/ha,Scheffe,mean,0,2,5,121,1,2,5,117,ns,preplant_V6,"preemergence, 0 kg N/ha, without nitrapyrin inhibitor","preemergence, 0 kg N/ha, without nitrapyrin inhibitor","sidedress, 0 kg N/ha, without nitrapyrin inhibitor","sidedress, 0 kg N/ha, without nitrapyrin inhibitor",,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-3.305785124,-4,NA,,Application Timing,Preplant,Early Season,,Nutrient Management
