"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt_1name","Trt1_details","Trt_2name","Trt2_details","group_level1","group_level2","group_level3","pm_group1","pm_group2","Review","per_change","actual_diff"
587,83,"2011-3",0,"soybean stand count (2 year average)",NA,2,"plants/ha","LSD","mean",0,NA,NA,259000,11,NA,NA,303000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Stand Count","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management",16.988416988417,44000
588,83,"2011-3",0,"soybean yield (2 year average)",NA,2,"kg/ha","LSD","mean",0,NA,NA,4356,11,NA,NA,4423,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Grain Production","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management",1.53810835629017,67
589,83,"2011-3",0,"soybean stand count",NA,3,"plants/ha","LSD","mean",0,NA,NA,220000,11,NA,NA,265000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Stand Count","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management",20.4545454545455,45000
590,83,"2011-3",0,"soybean grain yield",NA,3,"kg/ha","LSD","mean",0,NA,NA,4040,11,NA,NA,4235,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Grain Production","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management",4.82673267326733,195
613,91,"2003-2",1,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,37,2,NA,NA,31,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-16.2162162162162,-6
614,91,"2003-2",2,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,43,2,NA,NA,33,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-23.2558139534884,-10
615,91,"2003-2",3,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,46,2,NA,NA,49,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",6.52173913043478,3
616,91,"2003-2",4,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,46,2,NA,NA,44,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-4.34782608695652,-2
618,91,"2003-2",6,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,53,2,NA,NA,44,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-16.9811320754717,-9
619,91,"2003-2",7,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,28,2,NA,NA,41,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",46.4285714285714,13
620,91,"2003-2",1,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,42,2,NA,NA,48,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",14.2857142857143,6
621,91,"2003-2",8,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,14,2,NA,NA,45,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",221.428571428571,31
622,91,"2003-2",2,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,39,2,NA,NA,50,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",28.2051282051282,11
623,91,"2003-2",3,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,12,2,NA,NA,22,"0.05","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",83.3333333333333,10
624,91,"2003-2",4,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,32,2,NA,NA,32,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",0,0
626,91,"2003-2",6,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,49,2,NA,NA,43,"ns","untreated_seedF","untreated","untreated soybean","azoxystrobin; metalaxyl","soybean with azoxystrobin (4.1 g ai/100 kg seed) and metalaxyl (5.4 g ai/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-12.2448979591837,-6
627,91,"2003-2",1,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,37,3,NA,NA,28,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-24.3243243243243,-9
628,91,"2003-2",2,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,43,3,NA,NA,43,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",0,0
629,91,"2003-2",3,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,46,3,NA,NA,49,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",6.52173913043478,3
630,91,"2003-2",4,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,46,3,NA,NA,46,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",0,0
632,91,"2003-2",6,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,53,3,NA,NA,44,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-16.9811320754717,-9
633,91,"2003-2",7,"soybean stand count",NA,1,"plants/sq m","LSM","mean",0,NA,NA,28,3,NA,NA,37,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",32.1428571428571,9
634,91,"2003-2",1,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,42,3,NA,NA,45,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",7.14285714285714,3
635,91,"2003-2",8,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,14,3,NA,NA,26,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",85.7142857142857,12
636,91,"2003-2",2,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,39,3,NA,NA,53,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",35.8974358974359,14
637,91,"2003-2",3,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,12,3,NA,NA,20,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",66.6666666666667,8
638,91,"2003-2",4,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,32,3,NA,NA,32,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",0,0
640,91,"2003-2",6,"soybean stand count",NA,2,"plants/sq m","LSM","mean",0,NA,NA,49,3,NA,NA,45,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus pumilus GB 34","soybean with Bacillus pumilus GB 34 (1.74 x 10 ^4 CFU/100 kg seed) seed treatment","Crop Yields","Stand Count","Soybean","Fungicide","Seed","Early Season Pest Management",-8.16326530612245,-4
649,92,"2001-1",1,"NDVI (normalized difference vegetation index)",NA,1,"index","Duncans","mean",0,NA,NA,0.897,1,NA,NA,0.898,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (greenness/chlorophyll content) ","Fungicide","Seed","Early Season Pest Management",0.111482720178372,0.001
650,92,"2001-1",2,"NDVI (normalized difference vegetation index)",NA,1,"index","Duncans","mean",0,NA,NA,0.916,1,NA,NA,0.938,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (greenness/chlorophyll content) ","Fungicide","Seed","Early Season Pest Management",2.40174672489082,0.0219999999999999
651,92,"2001-1",1,"SRVI (simple ratio vegetation index)",NA,1,"index","Duncans","mean",0,NA,NA,18.5,1,NA,NA,18.9,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (greenness/chlorophyll content) ","Fungicide","Seed","Early Season Pest Management",2.16216216216215,0.399999999999999
652,92,"2001-1",2,"SRVI (simple ratio vegetation index)",NA,1,"index","Duncans","mean",0,NA,NA,23.4,1,NA,NA,31.1,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (greenness/chlorophyll content) ","Fungicide","Seed","Early Season Pest Management",32.9059829059829,7.7
653,92,"2001-1",1,"leaf area index (July 26, 2001)",NA,1,"index","Duncans","mean",0,NA,NA,2.58,1,NA,NA,2.48,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (greenness/chlorophyll content) ","Fungicide","Seed","Early Season Pest Management",-3.87596899224807,-0.1
654,92,"2001-1",2,"leaf area index (July 26, 2001)",NA,1,"index","Duncans","mean",0,NA,NA,3.46,1,NA,NA,4.35,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (greenness/chlorophyll content) ","Fungicide","Seed","Early Season Pest Management",25.7225433526011,0.89
655,92,"2001-1",1,"soybean plant height",NA,1,"cm","Duncans","mean",0,NA,NA,75.7,1,NA,NA,75.4,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (crop height)","Fungicide","Seed","Early Season Pest Management",-0.396301188903563,-0.299999999999997
656,92,"2001-1",2,"soybean plant height",NA,1,"cm","Duncans","mean",0,NA,NA,74.2,1,NA,NA,84.6,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Crop Growth","Soybean (crop height)","Fungicide","Seed","Early Season Pest Management",14.0161725067385,10.4
659,92,"2001-1",1,"soybean grain yield",NA,1,"kg/ha","Duncans","mean",0,NA,NA,2938,1,NA,NA,2883,"ns","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Grain Production","Soybean","Fungicide","Seed","Early Season Pest Management",-1.87202178352621,-55
660,92,"2001-1",2,"soybean grain yield",NA,1,"kg/ha","Duncans","mean",0,NA,NA,2299,1,NA,NA,3016,"0.05","untreated_seedFbio","untreated","untreated soybean","Bacillus subtilis MB1600 (biofungicide); Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria)","soybean with Bacillus subtilis MB1600 (biofungicide) and Bradyrhizobium japonicum RCR3407 (nitrogen fixing bacteria) in a peat carrier inoculant (chisel plow)","Crop Yields","Grain Production","Soybean","Fungicide","Seed","Early Season Pest Management",31.1874728142671,717
661,75,"2002-2",0,"maize stand count",NA,1,"# plants / ha","LSMeans","mean",0,NA,NA,367319,1,NA,NA,346792,"ns","untreated_seedF","untreated","untreated maize seed","captan","fungicide seed treatment, captan (0.06 g ai / kg seed)","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-5.58833057914238,-20527
661,75,"2002-2",0,"maize stand count",NA,2,"# plants / ha","LSMeans","mean",0,NA,NA,367319,1,NA,NA,346792,"ns","untreated_seedF","untreated","untreated maize seed","captan","fungicide seed treatment, captan (0.06 g ai / kg seed)","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-5.58833057914238,-20527
662,75,"2002-2",0,"maize yield",NA,1,"mg / ha","LSMeans","mean",0,NA,NA,3.45,1,NA,NA,3.4,"ns","untreated_seedF","untreated","untreated maize seed","captan","fungicide seed treatment, captan (0.06 g ai / kg seed)","Crop Yields","Grain Production","Corn","Fungicide","Seed","Early Season Pest Management",-1.44927536231885,-0.0500000000000003
662,75,"2002-2",0,"maize yield",NA,2,"mg / ha","LSMeans","mean",0,NA,NA,3.45,1,NA,NA,3.4,"ns","untreated_seedF","untreated","untreated maize seed","captan","fungicide seed treatment, captan (0.06 g ai / kg seed)","Crop Yields","Grain Production","Corn","Fungicide","Seed","Early Season Pest Management",-1.44927536231885,-0.0500000000000003
663,75,"2002-2",0,"maize stand count",NA,1,"# plants / ha","LSMeans","mean",0,NA,NA,367319,4,NA,NA,346477,"ns","untreated_seedF","untreated","untreated maize seed","captan; pentachloronitrobenzene; thiabendazole","captan (0.06 g ai / kg seed)/pentachloronitrobenzene (0.26 g / ai / kg seed)/thiabendazole (0.03 g ai / kg seed)","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-5.67408710140232,-20842
663,75,"2002-2",0,"maize stand count",NA,2,"# plants / ha","LSMeans","mean",0,NA,NA,367319,4,NA,NA,346477,"ns","untreated_seedF","untreated","untreated maize seed","captan; pentachloronitrobenzene; thiabendazole","captan (0.06 g ai / kg seed)/pentachloronitrobenzene (0.26 g / ai / kg seed)/thiabendazole (0.03 g ai / kg seed)","Crop Yields","Stand Count","Corn","Fungicide","Seed","Early Season Pest Management",-5.67408710140232,-20842
664,75,"2002-2",0,"maize yield",NA,1,"mg / ha","LSMeans","mean",0,NA,NA,3.45,4,NA,NA,3.48,"ns","untreated_seedF","untreated","untreated maize seed","captan; pentachloronitrobenzene; thiabendazole","captan (0.06 g ai / kg seed)/pentachloronitrobenzene (0.26 g / ai / kg seed)/thiabendazole (0.03 g ai / kg seed)","Crop Yields","Grain Production","Corn","Fungicide","Seed","Early Season Pest Management",0.869565217391299,0.0299999999999998
664,75,"2002-2",0,"maize yield",NA,2,"mg / ha","LSMeans","mean",0,NA,NA,3.45,4,NA,NA,3.48,"ns","untreated_seedF","untreated","untreated maize seed","captan; pentachloronitrobenzene; thiabendazole","captan (0.06 g ai / kg seed)/pentachloronitrobenzene (0.26 g / ai / kg seed)/thiabendazole (0.03 g ai / kg seed)","Crop Yields","Grain Production","Corn","Fungicide","Seed","Early Season Pest Management",0.869565217391299,0.0299999999999998
665,79,"1997-2",0,"photosynthetic rates of seedling soybean",NA,2,"mmol CO2 per meter square per second","LSD","mean",0,NA,NA,27.2,3,NA,NA,27.1,"ns","untreated_foliarI","untreated","untreated soybean","carbaryl (Sevin)","foliar application of carbaryl (0.818 kg ai/ha, Sevin) at V4 stage","Crop Yields","Crop Growth","Soybean (seedling development)","Other Insecticides","Foliar","Early Season Pest Management",-0.367647058823522,-0.0999999999999979
667,79,"1997-2",0,"stomatal conductance of seedling soybean",NA,2,"mmol H2O per meter square per second","LSD","mean",0,NA,NA,260.75,3,NA,NA,258.75,"ns","untreated_foliarI","untreated","untreated soybean","carbaryl (Sevin)","foliar application of carbaryl (0.818 kg ai/ha, Sevin) at V4 stage","Crop Yields","Crop Growth","Soybean (seedling development)","Other Insecticides","Foliar","Early Season Pest Management",-0.767018216682646,-2
669,79,"1997-2",0,"transpiration rates of seedling soybean",NA,2,"mmol H2O per centimeter square per second","LSD","mean",0,NA,NA,10.55,3,NA,NA,10.68,"ns","untreated_foliarI","untreated","untreated soybean","carbaryl (Sevin)","foliar application of carbaryl (0.818 kg ai/ha, Sevin) at V4 stage","Crop Yields","Crop Growth","Soybean (seedling development)","Other Insecticides","Foliar","Early Season Pest Management",1.23222748815165,0.129999999999999
671,78,"1991-1",6,"maize grain yield",NA,1,"100 kg/ha","LSD","mean",10,23,NA,141,17,23,NA,143,"ns","untreated_bandI","untreated","untreated maize, 0 g/ha herbicide (Nicosulfuron)","carbofurans","T-band organophosphate (carbofurans 15% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Grain Production","Corn","Other Insecticides","Soil","Early Season Pest Management",1.41843971631206,2
672,78,"1991-1",6,"maize grain yield",NA,1,"100 kg/ha","LSD","mean",10,24,NA,151,17,24,NA,153,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","carbofurans","T-band organophosphate (carbofurans 15% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Grain Production","Corn","Other Insecticides","Soil","Early Season Pest Management",1.32450331125828,2
673,78,"1991-1",6,"maize grain yield",NA,1,"100 kg/ha","LSD","mean",10,25,NA,152,17,25,NA,155,"ns","untreated_bandI","untreated","untreated maize, 35 g/ha herbicide (Nicosulfuron)","carbofurans","T-band organophosphate (carbofurans 15% ai granule applied at 0.11 g ai/m), 0 g/ha herbicide (Nicosulfuron)","Crop Yields","Grain Production","Corn","Other Insecticides","Soil","Early Season Pest Management",1.97368421052632,3
