"review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","cc_group1","cc_group2","per_change","actual_diff"
"Cover crop",1,"2001-8",7,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
"Cover crop",1,"2001-8",8,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
"Cover crop",1,"2001-8",1,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",1,"2001-8",2,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",1,"2001-8",3,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",1,"2001-8",4,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",1,"2001-8",5,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",1,"2001-8",6,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",1,"2001-8",7,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",1,"2001-8",8,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,"mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops",-23.4567901234568,-1.9
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,NA,NA,0.06,1,NA,NA,0.06,"ns",0,"mono","no cover crop","no winter cover crop","forage radish","forage radish for winter cover crop","Single species","Non-legume",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,NA,NA,0.06,1,NA,NA,0.06,"ns",0,"mono","no cover crop","no winter cover crop","forage radish","forage radish for winter cover crop","Single species","Non-legume",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,NA,NA,0.06,2,NA,NA,0.06,"ns",0,"mix_2","no cover crop","no winter cover crop","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,NA,NA,0.06,2,NA,NA,0.06,"ns",0,"mix_2","no cover crop","no winter cover crop","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,NA,NA,0.06,3,NA,NA,0.06,"ns",0,"mix_3","no cover crop","no winter cover crop","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop","Three or more species","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,NA,NA,0.06,3,NA,NA,0.06,"ns",0,"mix_3","no cover crop","no winter cover crop","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop","Three or more species","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,4,NA,0.06,1,4,NA,0.06,"ns",0,"mono","no cover crop","no winter cover crop, headland","forage radish","forage radish for winter cover crop, headland","Single species","Non-legume",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,4,NA,0.06,1,4,NA,0.06,"ns",0,"mono","no cover crop","no winter cover crop, headland","forage radish","forage radish for winter cover crop, headland","Single species","Non-legume",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,4,NA,0.06,2,4,NA,0.06,"ns",0,"mix_2","no cover crop","no winter cover crop, headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, headland","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,4,NA,0.06,2,4,NA,0.06,"ns",0,"mix_2","no cover crop","no winter cover crop, headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, headland","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,4,NA,0.06,3,4,NA,0.06,"ns",0,"mix_3","no cover crop","no winter cover crop, headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, headland","Three or more species","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,4,NA,0.06,3,4,NA,0.06,"ns",0,"mix_3","no cover crop","no winter cover crop, headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, headland","Three or more species","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,5,NA,0.06,1,5,NA,0.06,"ns",0,"mono","no cover crop","no winter cover crop, non-headland","forage radish","forage radish for winter cover crop, non-headland","Single species","Non-legume",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,5,NA,0.06,1,5,NA,0.06,"ns",0,"mono","no cover crop","no winter cover crop, non-headland","forage radish","forage radish for winter cover crop, non-headland","Single species","Non-legume",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,5,NA,0.06,2,5,NA,0.06,"ns",0,"mix_2","no cover crop","no winter cover crop, non-headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,5,NA,0.06,2,5,NA,0.06,"ns",0,"mix_2","no cover crop","no winter cover crop, non-headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,5,NA,0.06,3,5,NA,0.06,"ns",0,"mix_3","no cover crop","no winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Three or more species","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",0,5,NA,0.06,3,5,NA,0.06,"ns",0,"mix_3","no cover crop","no winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Three or more species","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,NA,NA,0.06,2,NA,NA,0.06,"ns",0,"mono_mix_2","forage radish","forage radish for winter cover crop","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop","Mixture comparisons","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,NA,NA,0.06,2,NA,NA,0.06,"ns",0,"mono_mix_2","forage radish","forage radish for winter cover crop","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop","Mixture comparisons","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,NA,NA,0.06,3,NA,NA,0.06,"ns",0,"mono_mix_3","forage radish","forage radish for winter cover crop","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,NA,NA,0.06,3,NA,NA,0.06,"ns",0,"mono_mix_3","forage radish","forage radish for winter cover crop","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,4,NA,0.06,2,4,NA,0.06,"ns",0,"mono_mix_2","forage radish","forage radish for winter cover crop, headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, headland","Mixture comparisons","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,4,NA,0.06,2,4,NA,0.06,"ns",0,"mono_mix_2","forage radish","forage radish for winter cover crop, headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, headland","Mixture comparisons","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,4,NA,0.06,3,4,NA,0.06,"ns",0,"mono_mix_3","forage radish","forage radish for winter cover crop, headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,4,NA,0.06,3,4,NA,0.06,"ns",0,"mono_mix_3","forage radish","forage radish for winter cover crop, headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,5,NA,0.06,2,5,NA,0.06,"ns",0,"mono_mix_2","forage radish","forage radish for winter cover crop, non-headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","Mixture comparisons","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,5,NA,0.06,2,5,NA,0.06,"ns",0,"mono_mix_2","forage radish","forage radish for winter cover crop, non-headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","Mixture comparisons","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,5,NA,0.06,3,5,NA,0.06,"ns",0,"mono_mix_3","forage radish","forage radish for winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",1,5,NA,0.06,3,5,NA,0.06,"ns",0,"mono_mix_3","forage radish","forage radish for winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",2,NA,NA,0.06,3,NA,NA,0.06,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",2,NA,NA,0.06,3,NA,NA,0.06,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",2,4,NA,0.06,3,4,NA,0.06,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",2,4,NA,0.06,3,4,NA,0.06,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",2,5,NA,0.06,3,5,NA,0.06,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","se",2,5,NA,0.06,3,5,NA,0.06,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Mixture comparisons","Non-legume + Legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",0,5,NA,1.27,1,5,NA,1.29,"ns",0,"mono","no cover crop","no winter cover crop, non-headland","forage radish","forage radish for winter cover crop, non-headland","Single species","Non-legume",1.5748031496063,0.02
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",0,5,NA,1.27,1,5,NA,1.29,"ns",0,"mono","no cover crop","no winter cover crop, non-headland","forage radish","forage radish for winter cover crop, non-headland","Single species","Non-legume",1.5748031496063,0.02
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",0,5,NA,1.27,2,5,NA,1.27,"ns",0,"mix_2","no cover crop","no winter cover crop, non-headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",0,5,NA,1.27,2,5,NA,1.27,"ns",0,"mix_2","no cover crop","no winter cover crop, non-headland","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","Two species","Non-legume Mixture",0,0
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",0,5,NA,1.27,3,5,NA,1.29,"ns",0,"mix_3","no cover crop","no winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Three or more species","Non-legume + Legume Mixture",1.5748031496063,0.02
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",0,5,NA,1.27,3,5,NA,1.29,"ns",0,"mix_3","no cover crop","no winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Three or more species","Non-legume + Legume Mixture",1.5748031496063,0.02
"Cover crop",4,"2011-2",1,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",2,5,NA,1.27,3,5,NA,1.29,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Mixture comparisons","Non-legume + Legume Mixture",1.5748031496063,0.02
"Cover crop",4,"2011-2",2,0,"Other Soil Properties","Physical Properties","Soil bulk density","bulk density","0-50 cm","0-60 cm","Mg/m^3","","mean",2,5,NA,1.27,3,5,NA,1.29,"ns",0,"mix_2_mix_3","forage radish + buckwheat","forage radish/buckwheat mix for winter cover crop, non-headland","forage radish + hairy vetch + winter rye","forage radish/hairy vetch/cereal rye mix for winter cover crop, non-headland","Mixture comparisons","Non-legume + Legume Mixture",1.5748031496063,0.02
