"Review_id","main_group","group_metric","Legend_1","mean_per_change1","sem_per_change1","num_papers1","num_comparisons1","paper_id_list1","Group_RV","Review","Review2"
"Nutrient","Yields","Aboveground biomass (maize)","Injection",0.258823268274405,3.8344542540451,2,8,"130,139","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Yields","Aboveground biomass (maize)","Knife",5.49450549450549,0,1,4,"125","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Yields","Grain (maize)","Injection",0.93551685005608,2.26387454764552,2,8,"130,139","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Yields","Grain (maize)","Knife",4.9960036108132e-15,1.07915938166285,1,4,"125","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Chemical","Nitrate (harvest)","Fall / Early Season",48.0548443726854,17.1400563264106,1,3,"137","Soil","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Chemical","Nitrate (harvest)","Fall / Preplant",13.9396252562137,9.59993179910862,1,9,"137","Soil","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (maize)","Fall / Preplant",19.8996314767592,16.2668435105045,1,6,"128","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Yields","Aboveground biomass (maize)","Fall / Preplant",6.31724418841464,7.66346353279696,1,3,"128","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Yields","Grain (maize)","Fall / Early Season",9.15110634622831,5.98049609396307,1,3,"137","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Yields","Grain (maize)","Fall / Preplant",8.83370071757856,3.03911643968114,2,12,"128,137","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Drainage","Drainage","Fall / Early Season",-16.2232905982906,8.00754146847143,1,3,"137","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Drainage","Drainage","Fall / Preplant",4.38464459705943,11.2178680491613,1,9,"137","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Runoff","Nitrate","Fall / Early Season",-55.8277036000219,2.51219206795117,1,12,"137","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Runoff","Nitrate","Fall / Preplant",-30.8553912065596,4.28841631753839,1,36,"137","Crop Production","Fertilizer","Fertilizer Timing (Fall vs. Spring)"
"Nutrient","Chemical","Ammonium (harvest) ","Preplant / Postplant",13.5304529692437,2.35572898895821,1,6,"132","Soil","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Chemical","Ammonium (midseason)","Preplant / Postplant",4.24242424242425,0,1,2,"132","Soil","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Chemical","Ammonium (preplanting) ","Preplant / Postplant",-4.89510489510488,0,1,2,"132","Soil","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Chemical","Nitrate (harvest)","Preplant / Early Season",34.0730975503639,27.2776518900658,1,3,"137","Soil","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Chemical","Nitrate (midseason)","Preplant / Postplant",4.65105230652287,0.290746014224435,1,4,"132","Soil","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Chemical","Nitrate (preplanting)","Preplant / Postplant",-14.5750246972302,2.67328954542266,1,4,"132","Soil","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Chemical","Total Nitrogen (0-60+ cm) ","Preplant / Early Season",-9.51682888380211,8.33224348806029,1,8,"141","Soil","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (maize)","Preplant / Early Season",9.23074801292797,3.79310079316164,2,15,"124,141","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Crop Nitrogen Uptake","Grain (maize)","Preplant / Early Season",6.06335711141356,2.95160245511992,2,15,"138,141","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Crop Nitrogen Uptake","Nitrogen use efficiency","Preplant / Early Season",10.559749690661,10.6049382973267,1,36,"124","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Stand Count","Damaged stalks (maize)","Preplant / Postplant",-29.1437728937729,23.3724492275777,1,3,"129","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Yields","Grain (maize)","Preplant / Early Season",2.73251262095456,0.773103800551328,3,19,"124,137,138","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Yields","Grain (maize)","Preplant / Postplant",5.76131687242798,0,1,2,"132","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Drainage","Drainage","Preplant / Early Season",4.05440624190623,14.7351951825697,1,3,"137","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
"Nutrient","Runoff","Nitrate","Preplant / Early Season",-23.2441451145744,7.99625132417373,1,12,"137","Crop Production","Fertilizer","Fertilizer Timing (Pre- vs. Post- Planting)"
