Paper_id,DOI,Authors,Authors_abbrev,PubYear,Journal,Volume_issue,Title,Pages,ReaderName,DateRead
134,10.2134/agronj2006.0172,"Bermudez, M. & Mallarino, A.P.",Bermudez & Mallarino,2007,Agronomy Journal,99(3),Impacts of variable-rate phosphorus fertilization based on dense grid soil sampling on soil-test phosphorus and gran yield of corn and soybean,822-832,LWA,12/19/2018
135,10.2134/agronj2007.0174,"Ping, J.L., Ferguson, R.B., & Dobermann, A.",Ping et al.,2008,Agronomy Journal,100(4),Site-specific nitrogen and plant density management in irrigated maize,1193-1204,LWA,12/19/2018
136,10.2134/jeq2016.06.0237,"Fernandez, F.G., Venterea, R.T., & Fabrizzi, K.P.",Fernandez et al.,2016,Journal of Environmental Quality,45,Corn nitrogen management influences nitrous oxide emissions in drained and undrained soils,1847-1855,LWA,1/2/2019
137,10.2134/jeq2017.03.0109,"Pittelkow, C.M., Clover, M.W., Hoeft, R.G., Nafziger, E.D., Warren, J.J., Gonzini, L.C., & Greer, K.D.",Pittelkow et al.,2017,Journal of Environmental Quality,46,Tile drainage nitrate losses and corn yield response to fall and spring nitrogen management,1057-1064,LWA,1/2/2019
138,10.2134/jpa1992.0142,"Killorn, R. & Zourarakis, D.",Killorn & Zourarakis,1992,Journal of Production Agriculture,5,Nitrogen fertilizer management effects on corn grain yield and nitrogen uptake,142-148,LWA,1/3/2019
139,10.2134/agronj1992.00021962008400030026x,"Timmons, D.R. & Baker, J.L.",Timmons & Baker,1992,Agronomy Journal,84,Fertilizer management effect on recovery of labeled nitrogen by continuous no-till,490-496,LWA,1/3/2019
140,10.2134/agronj1994.00021962008600060036x,"Eckert, D.J. & Martin, V.L.",Eckert & Martin,1994,Agronomy Journal,86,Yield and nitrogen requirement of no-tillage corn as influenced by cultural practices,1119-1123,LWA,1/5/2019
141,10.2136/sssaj1997.03615995006100060022x,"Jokela, W.E. & Randall, G.W.",Jokela & Randall,1997,Soil Science Society of America Journal,61,Fate of fertilizer nitrogen as affected by time and rate of application on corn,1695-1703,LWA,1/7/2019
142,10.2134/agronj1998.00021962009000050011x,"Sims, A.L., Schepers, J.S., Olson, R.A., & Power, J.F.",Sims et al.,1998,Agronomy Journal,90,Irrigated corn yield and nitrogen accumulation response in a comparison of no-till and conventional till: tillage and surface-residue variables,630-637,LWA,1/7/2019
143,10.2136/sssaj2002.0544,"Ferguson, R.B., Hergert, G.W., Schepers, J.S., Gotway, C.A., Cahoon, J.E., & Peterson, T.A.",Ferguson et al.,2002,Soil Science Society of America Journal,66(2),Site-specific nitrogen management of irrigated maize: yield and soil residual nitrate effects,544-553,LWA,1/17/2019
144,10.2134/jpa1997.0300,"Randall, G.W., Iragavarapu, T.K., & Bock, B.R.",Randall et al.,1997,Journal of Production Agriculture,10,Nitrogen application methods and timing for corn after soybean in a ridge-tillage system,300-307,LWA,1/8/2019
145,10.2134/agronj2013.0104,"Hatfield, J.L. & Parkin, T.B.",Hatfield & Parkin,2014,Agronomy Journal,106,Enhanced efficiency fertilizers: Effect on agronomic performance of corn in Iowa,771-780,LWA,1/14/2019
