"","main_group","group_metric","Cover_crop_diversity2","mean_per_change","sem_per_change","num_papers","num_comparisons","Group_RV","Review"
"65","Weeds","Deadnettle","Monoculture",1.28618017865745,5.28923488726415,1,30,"Pest Regulation","Cover Cropping"
"66","Weeds","Giant Foxtail","Monoculture",29.6552153169288,10.9785115206766,1,10,"Pest Regulation","Cover Cropping"
"67","Weeds","Pigweed","Monoculture",100.435061641727,40.167891978795,1,24,"Pest Regulation","Cover Cropping"
"68","Weeds","Waterhemp","Monoculture",13.1272988290282,10.7264105908862,2,102,"Pest Regulation","Cover Cropping"
"69","Weeds","Waterhemp","Mixture (2 Spp.)",-18.272059247638,1.55052137145723,1,6,"Pest Regulation","Cover Cropping"
"70","Weeds","Weed community (abundance of weeds)","Monoculture",-8.0243679821208,6.35994239448575,4,135,"Pest Regulation","Cover Cropping"
"71","Weeds","Weed community (abundance of weeds)","Mixture (2 Spp.)",-35.7172506236336,9.92381087584353,2,8,"Pest Regulation","Cover Cropping"
"72","Weeds","Weed community (abundance of weeds)","Mixture (3+ Spp.)",-10.2040816326531,0,1,2,"Pest Regulation","Cover Cropping"
"73",NA,NA,NA,NA,NA,1,3,"Pest Regulation","Cover Cropping"
"74","Crop Nitrogen Uptake","Grain (Maize)","Monoculture",-16.6749032226574,2.35869908796009,4,34,"Crop Production","Cover Cropping"
"75","Crop Nitrogen Uptake","Grain (Soybean)","Monoculture",-18.1286549707602,0,1,4,"Crop Production","Cover Cropping"
"76","Crop Nitrogen Uptake","Stalk/Stover (Maize)","Monoculture",-8.17767035084231,2.29338048725218,6,45,"Crop Production","Cover Cropping"
"77","Stand Count","Seedling Density","Monoculture",1.45348834634102,2.19239527006819,5,192,"Crop Production","Cover Cropping"
"78","Stand Count","Seedling Density","Mixture (2 Spp.)",-8.9642820866718,2.98340176494279,1,8,"Crop Production","Cover Cropping"
"79","Yields","Grain (Maize)","Monoculture",-1.7876243768801,0.923595506386209,25,365,"Crop Production","Cover Cropping"
"80","Yields","Grain (Maize)","Mixture (2 Spp.)",-3.9768776139028,0.905510207658094,4,28,"Crop Production","Cover Cropping"
"81","Yields","Grain (Maize)","Mixture (3+ Spp.)",-1.46407637892403,0.91665821523977,1,12,"Crop Production","Cover Cropping"
"82","Yields","Grain (Soybean)","Monoculture",-2.00045392829828,1.40941774890023,19,216,"Crop Production","Cover Cropping"
"83","Yields","Grain (Soybean)","Mixture (2 Spp.)",-2.05246927128342,0.757882799547109,5,30,"Crop Production","Cover Cropping"
"84","Yields","Grain (Soybean)","Mixture (3+ Spp.)",-4.84503605787791,3.25047003075814,1,12,"Crop Production","Cover Cropping"
"85","Yields","Root biomass","Monoculture",4.03691735213474,24.2742840296696,1,4,"Crop Production","Cover Cropping"
"86","Yields","Stover Biomass","Monoculture",-7.88054636338192,3.36432743672927,6,31,"Crop Production","Cover Cropping"
"87","Yields","Stover Biomass","Mixture (2 Spp.)",-6.28594744864791,2.54586258776764,2,6,"Crop Production","Cover Cropping"
"88","Drainage","Drainage","Monoculture",-3.761744071816,2.81575958261333,4,46,"Water","Cover Cropping"
"89","Physical","Erosion","Monoculture",-68.1818181818182,25.7575757575758,1,2,"Water","Cover Cropping"
"90","Runoff","Nitrate","Monoculture",-30.50649920584,6.18884582482789,7,77,"Water","Cover Cropping"
"91","Runoff","Phosphorous","Monoculture",-50.509549070693,5.26295319762122,2,12,"Water","Cover Cropping"
