Paper_id,Duration,Trt_id,Year,CC_soilprep,CC_plantdate,CC_plantimplement,CC_nutrient,CC_max_diversity,CC_mixture,CC_type,CC_seeddensity,Termination_type,Herbicide_type,Herbicide_rate,Herbicide_rateunits,Termination_timing,Trt_other_description,,,,,,,,
6,1989-2,2,0,,September,hand seeded,,single,hairy vetch,,22 kg/ha,,,,,,,,,,,,,,
6,1989-2,3,0,,,,,single,,,,tillage,,,,two days before cash crop planting,,,,,,,,,
6,1989-2,4,0,,,,,single,,,,herbicide,glyphosate,1.7,kg ae/ha,three days before case crop planting,,,,,,,,,
6,1989-2,5,0,,,,,single,,,,rotary mowing,,,,the day cash crops were planted,,,,,,,,,
6,1989-2,6,0,,,,,single,,,,,,,,,no herbicides for weeds,,,,,,,,
6,1989-2,7,0,,,,,single,,,,,,,,,herbicides applied prepalnt of cash crop (alachor and atrazine),,,,,,,,
7,2005-2,0,0,,,,,mixture,winter fallow,,,,,,,,,,,,,,,,
7,2005-2,1,0,,in August (pre-harvest of cash crop),broadcasted,"3.7 g/ka total N, 1.8 g/kg of ammonia N, and 50 kg/kg dry matter",mixture,cereal rye + oat,,70/30 mix,herbicide,glyphosate,,,pre-cash crop planting (April 26),,,,,,,,,
7,2005-2,3,0,,,,,mixture,,,,,,,,,,,,,,,,,
7,2005-2,4,0,,,,,mixture,,,,,,,,,no fertilizers added,,,,,,,,
7,2005-2,5,0,,,,,mixture,,,,,,,,,manure applied (224 kg N / ha),,,,,,,,
8,2006-2,0,0,,,,none,single,winter fallow,,,,,,,,,,,,,,,,
8,2006-2,0,1,glyphosate/glufosinate,,broadcasted,none,single,Italian ryegrass,,34 kg/ha,herbicide,glyphosate mixed with metribuzin,,kg ai/ha,one week before cash crops were planted,,,,,,,,,
8,2006-2,0,2,glyphosate/glufosinate,,no-till drilled,none,single,winter wheat,,67 kg/ha,herbicide,glyphosate mixed with metribuzin,"2.4, 4.2",kg ai/ha,one week before cash crops were planted,,,,,,,,,
8,2006-2,0,3,,,,,single,,,,,,,,,soybean-soybean crop rotation,,,,,,,,
8,2006-2,0,4,,,,,single,,,,,,,,,soybean-maize crop rotation,,,,,,,,
9,1987-2,1,0,,,,,single,cereal rye or wheat,,,disked,,,,,"herbicides applied 24 hours after planting of cash crops (glyphosate/chloramben/metalachor, paraquat/imazaquin/metolachlor, paraquat/metribuzin/metolachlor)",,,,,,,,
9,1987-2,0,0,,,,,single,winter fallow,,,,,,,,herbicides applied 24 hours after planting of cash crops (mixtures of glyphosate/chloramben/metalachor or paraquat/imazaquin/metolachlor or paraquat/metribuzin/metolachlor),,,,,,,,
9,1987-2,2,0,,first date,,,single,,,,,,,,,herbicides applied 24 hours after planting of cash crops (mixtures of glyphosate/chloramben/metalachor or paraquat/imazaquin/metolachlor or paraquat/metribuzin/metolachlor),,,,,,,,
9,1987-2,3,0,,7 days later,,,single,,,,,,,,,granular nitrate and ammonium applied,,,,,,,,
10,1990-6,0,0,no-tillage,,,,mixture,winter fallow,,,sweep cultivation,,,,,soybean-maize crop rotation,,,,,,,,
10,1990-6,1,0,no-tillage,,overseeded into soybean,,mixture,oat,,"3,800,000 seeds/ha",,,,,,,,,,,,,,
10,1990-6,2,0,,,overseeded into soybean,,mixture,cereal rye,,"3,800,000 seeds/ha",,,,,,,,,,,,,,
10,1990-6,3,5,,,overseeded into soybean,,mixture,cereal rye + oat,,"3,800,000 seeds/ha",,,,,,,,,,,,,,
11,1994-2,9,1,no-tillage,,,,single,wheat,Arapho,78.4 kg/ha,herbicide,glyphosate,1.4,kg ai/ha,23-May,,,,,,,,,
11,1994-2,8,1,no-tillage,,,,single,winter triticale,Newcastle,78.4 kg/ha,herbicide,glyphosate,1.4,kg ai/ha,13-May,,,,,,,,,
11,1994-2,6,1,no-tillage,,,,single,barley,Perkins,78.4 kg/ha,herbicide,glyphosate,,,23-May,,,,,,,,,
11,1994-2,7,1,no-tillage,,,,single,cereal rye,VNS,78.4 kg/ha,herbicide,glyphosate,1.4,kg ai/ha,13-May,,,,,,,,,
11,1994-2,10,1,no-tillage,,,,single,hairy vetch,,35.8 kg/ha,herbicide,glyphosate,1.4,kg ai/ha,23-May,,,,,,,,,
11,1994-2,0,1,no-tillage,,,,single,winter fallow,,,,,,,,,,,,,,,,
11,1994-2,1,1,no-tillage,,,,single,barley,,78.4 kg/ha,herbicide,glyphosate,2.2,kg ai/ha,6-Jun,,,,,,,,,
11,1994-2,2,1,no-tillage,,,,single,cereal rye,,78.4 kg/ha,herbicide,glyphosate,2.2,kg ai/ha,6-Jun,,,,,,,,,
11,1994-2,3,1,no-tillage,,,,single,triticale,,156.4 kg/ha,herbicide,glyphosate,2.2,kg ai/ha,6-Jun,,,,,,,,,
11,1994-2,4,1,no-tillage,,,,single,wheat,,78.4 kg/ha,herbicide,glyphosate,2.2,kg ai/ha,,,,,,,,,,
11,1994-2,5,1,no-tillage,,,,single,winter fallow,,,,,,,,,,,,,,,,
11,1994-2,11,0,,,,,single,,,,,,,,,rain fed system,,,,,,,,
11,1994-2,12,0,,,,,single,,,,,,,,,18 mm of irrigation per week,,,,,,,,
12,1995-3,1,0,tillage,when maize reached the stage v6,interseeded,,single,cereal rye,,125 kg/ha,tillage,,,,,,,,,,,,,
12,1995-3,0,0,tillage,,,,single,winter fallow,,,,,,,,,,,,,,,,
12,1995-3,2,0,,,,,single,,,,,,,,,101 kg N / ha added,,,,,,,,
12,1995-3,3,0,,,,,single,,,,,,,,,202 kg N / ha added,,,,,,,,
13,1994-3,0,0,no-tillage,,,,single,winter fallow,,,,,,,,,,,,,,,,
13,1994-3,1,0,no-tillage,mid-August,drop seeded (interseeded into soybean),,single,oat,Ogle,380 kg/ha,,,,,,,,,,,,,,
13,1994-3,2,0,no-tillage,,drop seeded (interseeded into soybean),,single,cereal rye,,380 kg/ha,,,,,,,,,,,,,,
13,1994-3,3,0,,,,,single,,,,,,,,,no added compaction (no tractor wheel traffic),,,,,,,,
13,1994-3,4,0,,,,,single,,,,,,,,,soil compaction (tractor wheel traffic),,,,,,,,
14,1998-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
14,1998-3,0,1,no-tillage,September-October,no-till drilled,,single,cereal rye,Rymin,180 kg/ha,,,,,,,,,,,,,,
15,2005-2,1,0,no-tillage,August-September,drop seeded,,mixture,cereal rye cv. Maton + oat cv. Jerry,,"26,000,000 and 1,100,000 seeds/ha",herbicide,glyphosate,0.9,kg ae / ha,April,,,,,,,,,
15,2005-2,0,0,,,,,mixture,winter fallow,,,,,,,,,,,,,,,,
15,2005-2,2,0,,,,,mixture,,,,,,,,,no manures applied,,,,,,,,
15,2005-2,3,0,,,,,mixture,,,,,,,,,swine manure applied (212-232 kg N / ha),,,,,,,,
16,2007-2,1,0,no-tillage,September,broadcasted,,single,slender wheatgrass,Gould ex Shinners,34 kg/ha,,,,,,,,,,,,,,
16,2007-2,0,0,no-tillage,,,,single,winter fallow,,,,,,,,,,,,,,,,
17,2006-3,0,0,chisel plow,,,,single,winter fallow,,,,,,,,,,,,,,,,
17,2006-3,1,0,tandem disk,October,no-till drilled,,single,cereal rye,Rymin,100 kg/ha,,,,,,,,,,,,,,
18,2005-4,0,0,chisel plow,,,,single,winter fallow,,,,,,,,,,,,,,,,
18,2005-4,1,0,tandem disk,October,drilled,,single,cereal rye,Rymin,100 kg/ha,,,,,,,,,,,,,,
19,2005-1,1,0,,,,,single,cereal rye,variable,,,,,,,,,,,,,,,
19,2005-1,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
20,2009-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
20,2009-3,1,0,no-tillage,October,drilled,,single,cereal rye,,70 kg/ha,herbicide,glyphosate,,,,,,,,,,,,
20,2009-3,2,0,,,,,single,,,,,,,,,0 kg N / ha added,,,,,,,,
20,2009-3,3,0,,,,,single,,,,,,,,,135 kg N / ha added,,,,,,,,
20,2009-3,4,0,,,,,single,,,,,,,,,225 kg N / ha added,,,,,,,,
21,2008-1,1,0,cultivated,September,broadcasted,,single,cereal rye,Rymin,126 kg/ha,herbicide,glyphosate,1.2,kg ae / ha,May,,,,,,,,,
21,2008-1,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
22,2010-2,3,0,cultivated,September,no-till drilled,,single,winter triticale,Fridge,269 kg/ha,tillage,,,,,,,,,,,,,
22,2010-2,5,0,cultivated,September,no-till drilled,,single,winter barley,McGregor,269 kg/ha,tillage,,,,,,,,,,,,,
22,2010-2,0,0,disked,,,,single,winter fallow,,,,,,,,,,,,,,,,
22,2010-2,1,0,cultivated,September,no-till drilled,,single,hairy vetch,,33.6 kg/ha,tillage,,,,,,,,,,,,,
22,2010-2,2,0,cultivated,September,no-till drilled,,single,cereal rye,,269 kg/ha,tillage,,,,,,,,,,,,,
22,2010-2,4,0,cultivated,September,no-till drilled,,single,Austrian winter peas,,44.6 kg/ha,tillage,,,,,,,,,,,,,
22,2010-2,6,0,,,,,single,,,,mow,,,,,,,,,,,,,
22,2010-2,7,0,,,,,single,,,,roller crimper,,,,,,,,,,,,,
23,2012-1,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
23,2012-1,1,0,,September,drilled,,single,cereal rye,,"100, 63, and 78 kg/ha dependent on site",herbicide,glyphosate,1.4 /1 /1.2,lb ai / acre,,,,,,,,,,
24,2012-1,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
24,2012-1,1,0,,,,,single,cereal rye,,,,,,,,,,,,,,,,
25,2008-4,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
25,2008-4,1,0,,,,,single,cereal rye,,,,,,,,,,,,,,,,
26,2006-2,2,0,,September,no-till drilled,urea,mixture,cereal rye cv. Aroostok + oat cv. Armor,,90-95 and 50-84  kg/ha,herbicide,"atrazine, paraquat dichloride, and isoxaflutole",1.68 / 0.68 / 0.55,kg ai/ha,pre-cash crop planting (April),,,,,,,,,
26,2006-2,1,0,,September,no-till drilled,urea,mixture,annual ryegrass,Marshall,35-45 kg/ha,herbicide,"atrazine, paraquat dichloride, and isoxaflutole",1.68 / 0.68 / 0.54,kg ai/ha,pre-cash crop planting (April),,,,,,,,,
26,2006-2,0,0,,,,urea,mixture,winter fallow,,,herbicide,"atrazine, paraquat dichloride, and isoxaflutole",1.68 / 0.68 / 0.53 OR 1.5,kg ai/ha,pre-cash crop planting (April),,,,,,,,,
27,2011-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
27,2011-3,1,0,,,,,single,cereal rye,,,,,,,,,,,,,,,,
28,2009-3,1,0,,September-October,no-till drilled,,single,cereal rye,Wheeler,70 kg/ha,herbicide,glyphosate,1 to 2,kg ai/ha,"pre-cash crop planting (April, May)",,,,,,,,,
28,2009-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
28,2009-3,2,0,,,,,single,,,,,,,,,0 kg N / ha added,,,,,,,,
28,2009-3,3,0,,,,,single,,,,,,,,,45 kg N / ha added,,,,,,,,
28,2009-3,4,0,,,,,single,,,,,,,,,90 kg N / ha added,,,,,,,,
28,2009-3,5,0,,,,,single,,,,,,,,,135 kg N / ha added,,,,,,,,
28,2009-3,6,0,,,,,single,,,,,,,,,180 kg N / ha added,,,,,,,,
28,2009-3,7,0,,,,,single,,,,,,,,,225 kg N / ha added,,,,,,,,
29,2006-2,1,0,,September-October,no-till drilled,,single,cereal rye,Rymin,67-157 kg/ha,tillage,,,,"early June, post planting cash crop",,,,,,,,,
29,2006-2,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
30,2010-4,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
30,2010-4,1,0,,following harvest of cash crop,drilled,,single,cereal rye,,,herbicide,glyphosate,,,,,,,,,,,,
31,2002-2,0,0,,,,,mixture,winter fallow,,,,,,,,,,,,,,,,
31,2002-2,1,0,,September-October,drilled,,mixture,cereal rye,,90 kg/ha,herbicide,glyphosate,1.1,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
31,2002-2,2,0,,September-October,drilled,,mixture,hairy vetch,,34 kg/ha,herbicide,glyphosate,1.1,kg ai / ha,1 weeks before cash crop planting,,,,,,,,,
31,2002-2,3,0,,September-October,drilled,,mixture,cereal rye + hairy vetch,,68 and 28 kg/ha,herbicide,glyphosate,1.1,kg ai / ha,at cash crop planting,,,,,,,,,
31,2002-2,4,0,,,,,mixture,,,,,,,,,0 kg N / ha added,,,,,,,,
31,2002-2,5,0,,,,,mixture,,,,,,,,,90 kg N / ha added,,,,,,,,
31,2002-2,6,0,,,,,mixture,,,,,,,,,180 kg N / ha added,,,,,,,,
31,2002-2,7,0,,,,,mixture,,,,,,,,,270 kg N / ha added,,,,,,,,
32,2009-1,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
32,2009-1,1,0,,following maize harvest,broadcasted,residual,single,cereal rye,,150 kg/ha,,,,,,,,,,,,,,
33,2010-2,0,0,disked after compaction treatments applied,,,none,mixture,winter fallow,,,,,,,,,,,,,,,,
33,2010-2,1,0,disked after compaction treatments applied,,,none,mixture,radish,,10 kg/ha,herbicide,glyphosate,1.2,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
33,2010-2,2,0,disked after compaction treatments applied,,,none,mixture,radish + buckwheat,,5 and 45 kg/ha,herbicide,glyphosate,1.2,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
33,2010-2,3,0,disked after compaction treatments applied,,,none,mixture,radish + hairy vetch,,5 and 30 kg/ha,herbicide,glyphosate,1.2,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
33,2010-2,4,0,disked after compaction treatments applied,,,none,mixture,radish + cereal rye,,5 and 28 kg/ha,herbicide,glyphosate,1.2,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
33,2010-2,5,0,disked after compaction treatments applied,,,none,mixture,radish + winter triticale,,5 and 38 kg/ha,herbicide,glyphosate,1.2,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
33,2010-2,6,0,,,,,mixture,,,,,,,,,no additional compaction,,,,,,,,
33,2010-2,7,0,,,,,mixture,,,,,,,,,medium compaction,,,,,,,,
33,2010-2,8,0,,,,,mixture,,,,,,,,,high compaction,,,,,,,,
34,2001-2,0,0,,October,no-till drilled,,mixture,winter fallow,,,herbicide,glyphosate,1.1,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
34,2001-2,1,0,,October,no-till drilled,,mixture,cereal rye (maize) / cereal rye (soybean),,90 kg/ha (rye),herbicide,glyphosate,1.1,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
34,2001-2,2,0,,October,no-till drilled,,mixture,hairy vetch (maize) / cereal rye (soybean),,90 kg/ha (rye),herbicide,glyphosate,1.1,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
34,2001-2,3,0,,October,no-till drilled,,mixture,hairy vetch + cereal rye (maize) / cereal rye (soybean),,90 kg/ha (rye),herbicide,glyphosate,1.1,kg ai / ha,2 weeks before cash crop planting,,,,,,,,,
35,2001-3,1,0,,,,,single,oat,Gem,115 kg/ha,tillage,,,,,,,,,,,,,
35,2001-3,3,0,,,,,single,cereal rye,Spooner,145 kg/ha,tillage,,,,,,,,,,,,,
35,2001-3,4,0,,,,,single,cereal rye (top growth removed),Spooner,145 kg/ha,tillage,,,,,,,,,,,,,
35,2001-3,2,0,,,,,single,winter triticale,Wolf River,145 kg/ha,tillage,,,,,,,,,,,,,
35,2001-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
36,1996-7,1,0,,August,overseeded into soybean,,mixture,oat,Ogle,,,,,,,,,,,,,,,
36,1996-7,3,0,,August,overseeded into soybean,,mixture,oat cv. Ogle + cereal rye cv. Rymin,,"3,800,000 rye seeds/ha",herbicide,glyphosate,1.12,kg ai / ha,1-2 days before maize planting,,,,,,,,,
36,1996-7,2,0,,August,overseeded into soybean,,mixture,cereal rye,Rymin,"3,800,000 rye seeds/ha",herbicide,glyphosate,1.12,kg ai / ha,1-2 days before maize planting,,,,,,,,,
36,1996-7,0,0,,,,,mixture,winter fallow,,,,,,,,,,,,,,,,
37,2003-2,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
37,2003-2,1,0,,following harvest of cash crop,no-till drilled,,single,cereal rye,,"3,800,000 seeds/ha",herbicide,glyphosate,,,7-10 days before planting,,,,,,,,,
37,2003-2,2,0,,,,,single,,,,,,,,,maize system,,,,,,,,
37,2003-2,3,0,,,,,single,,,,,,,,,soybean system,,,,,,,,
38,2014-2,0,0,,,,,single,winter fallow (maize)/winter fallow (soybean),,,,,,,,,,,,,,,,
38,2014-2,1,0,,,,,single,spring oat (maize)/red clover (soybean),,67.2 and 22.4 kg/ha,herbicide,glyphosate,1.12,kg ai / ha,"end of April, before cash crop planting",,,,,,,,,
38,2014-2,2,0,,,,,single,cereal rye (maize)/hairy vetch (soybean),,100 and 22.4 kg/ha,herbicide,glyphosate,1.12,kg ai / ha,"end of April, before cash crop planting",,,,,,,,,
38,2014-2,3,0,,,,,single,annual ryegrass (maize)/annual ryegrass (soybean),,16.8 kg/ha,herbicide,glyphosate,1.12,kg ai / ha,"end of April, before cash crop planting",,,,,,,,,
38,2014-2,4,0,,,,,single,radish (maize)/radish (soybean),,9 kg/ha,herbicide,glyphosate,1.12,kg ai / ha,"end of April, before cash crop planting",,,,,,,,,
38,2014-2,5,0,,,,,single,rape (maize)/rape (soybean),,5.6 kg/ha,herbicide,glyphosate,1.12,kg ai / ha,"end of April, before cash crop planting",,,,,,,,,
39,2009-6,1,0,,,,,single,cereal rye,Rymin,"300,000 seeds/ha",herbicide,glyphosate,0.39-0.45,L ai / ha,,,,,,,,,,
39,2009-6,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
40,2013-2,1,0,,,,,single,"cereal rye cv. Cougar, Wheeler, Spooner + Austrian winter pea",,,herbicide and tillage,glyphosate,1260,g A.E. / ha,May-June,,,,,,,,,
40,2013-2,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
41,2014-3,1,0,,,,,single,cereal rye,,56-112 kg/ha,herbicide,glyphosate,,,,,,,,,,,,
41,2014-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
41,2014-3,2,0,,,,,single,,,,,,,,early (2-3 weeks before planting cash crop),,,,,,,,,
41,2014-3,3,0,,,,,single,,,,,,,,late (within a few days of planting cash crop),,,,,,,,,
42,2013-3,6,0,,September,no-till drilled,,mixture,annual ryegrass,Marshall,28 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,9,0,,September,no-till drilled,,mixture,winter wheat,Roane,135 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,4,0,,September,no-till drilled,,mixture,oilseed radish,Tillage Radish,9 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,0,0,,,,,mixture,winter fallow,,,herbicide,,,,,,,,,,,,,
42,2013-3,1,0,,September,no-till drilled,,mixture,Austrian winter peas,,56 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,2,0,,September,no-till drilled,,mixture,hairy vetch,,34 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,3,0,,September,no-till drilled,,mixture,crimson clover,,34 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,5,0,,September,no-till drilled,,mixture,winter oats,,78 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,7,0,,September,no-till drilled,,mixture,cereal rye + hairy vetch,,78 and 34 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
42,2013-3,8,0,,September,no-till drilled,,mixture,cereal rye,,123 kg/ha,herbicide,"glyphosate and 2,4-D ester",1.72 /0.56,kg / ha,,,,,,,,,,
43,2011-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
43,2011-3,1,0,,,no-till drilled,,single,cereal rye,,63-100 kg/ha,herbicide,glyphosate,,,2 weeks before cash crop planting,,,,,,,,,
44,2013-1,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
44,2013-1,1,0,,,,,single,cereal rye,,,,,,,,,,,,,,,,
45,2012-2,1,0,,October-November,drilled,,single,cereal rye,Aroostok,112 kg/ha,herbicide and tillage,glyphosate,2.3,L ai / ha,2 weeks before cash crop planting,,,,,,,,,
45,2012-2,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
45,2012-2,2,0,,,,,single,,,,,,,,,located in a depression,,,,,,,,
45,2012-2,3,0,,,,,single,,,,,,,,,located along a slope,,,,,,,,
45,2012-2,4,0,,,,,single,,,,,,,,,located on a summit,,,,,,,,
45,2012-2,5,0,,,,,single,,,,,,,,,chisel plow,,,,,,,,
45,2012-2,6,0,,,,,single,,,,,,,,,ridge-tillage,,,,,,,,
46,2002-2,0,0,,,,,mixture,winter fallow,,,,,,,,,,,,,,,,
46,2002-2,1,0,,,,,mixture,alfalfa,,,herbicide,,,,,,,,,,,,,
46,2002-2,2,0,,,,,mixture,red clover,,,herbicide,,,,,,,,,,,,,
46,2002-2,3,0,,,,,mixture,perennial ryegrass,,,herbicide,,,,,,,,,,,,,
46,2002-2,4,0,,,,,mixture,,,,,imazethapyr,,,,,,,,,,,,
46,2002-2,5,0,,,,,mixture,,,,,quixalofop-p-ethyl mized with bentazon,,,,,,,,,,,,
46,2002-2,6,0,,,,,mixture,,,,,,,,,cover crops terminated 0 weeks after planting cash crop,,,,,,,,
46,2002-2,7,0,,,,,mixture,,,,,,,,,cover crops terminated 2 weeks after planting cash crop,,,,,,,,
47,2008-7,0,0,no-tillage,,,,single,winter fallow,,,,,,,,,,,,,,,,
47,2008-7,1,0,no-tillage,September-October,no-till drilled / broadcasted,,single,winter rye,,,,,,,April-May,,,,,,,,,
48,2012-2,0,0,nitrogen fertilizer in October (50 kg N/ha as ammonium sulfate) and anhudrous ammonium (150 kg/ha) in November,,,,single,winter fallow,,,,,,,,,,,,,,,,
48,2012-2,1,0,nitrogen fertilizer in October (50 kg N/ha as ammonium sulfate) and anhudrous ammonium (150 kg/ha) in November,September,,,single,tillage radish,,11 kg/ha,winter killed,,,,before planting of cash crop and then soils were tilled to incorporate cover crop biomass,,,,,,,,,
48,2012-2,2,0,nitrogen fertilizer in October (50 kg N/ha as ammonium sulfate) and anhudrous ammonium (150 kg/ha) in November,September,,,single,winter rye,,67 kg/ha,herbicide,"2,4-D and glyphosate",,,before planting of cash crop and then soils were tilled to incorporate cover crop biomass,,,,,,,,,
49,2011-3,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
49,2011-3,1,0,,September-October,,,single,winter rye,Rymin,62.7 kg/ha,herbicide then tillage,glyphosate,,,,,,,,,,,,
49,2011-3,2,0,,September-October,,,single,winter canola,Sumner,11.2 kg/ha,herbicide then tillage,glyphosate,,,,,,,,,,,,
49,2011-3,3,0,,September-October,,,single,mustard,Pacific Gold,11.2 kg/ha,herbicide then tillage,glyphosate,,,,,,,,,,,,
49,2011-3,4,0,,September-October,,,single,rapeseed,Dwarf Essex,11.2 kg/ha,herbicide then tillage,glyphosate,,,,,,,,,,,,
49,2011-3,5,0,,,,,single,,,,,,,,,uninnoculated with pathogens,,,,,,,,
49,2011-3,6,0,,,,,single,,,,,,,,,innoculated with Rhizoctonia solani (the causal agent of Rhizoctonia root rot),,,,,,,,
49,2011-3,7,0,,,,,single,,,,,,,,,innoculated with Fusarium virguliforme (the causal agent of sudden death syndrome),,,,,,,,
50,2002-5,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
