"","Paper_id","results_short2","results_long2"
"11",11,"They found barley, rye, triticale, and wheat cover crops reduced soybean grain yield in 1995.  They found no impact of barley and triticale cover crops on soybean grain yield in 1996, but rye and wheat cover crops significantly increased soybean yields compared to control. ","In rainfed systems, soybean yields were higher with winter fallow compared to  all the cover crops in the first year of the study. In the second year, soybean yields improved with cover crops such that they were similar to winter fallow with wheat resulting in higher yields. Among the cover crops, wheat consistently resulted in the highest grain yields."
"12",12,"They found maize yields were unaffected by rye cover crop compared to winter fallow. ","Winter rye had no effect on maize yields from 1995-1997 at two fertility levels (101 N kg/ha and 202 N kg/ha) compared to winter fallow at the same fertility level."
"13",13,"They found no differences in soil bulk density among oat, rye, and winter fallow from 1996 to 1998.  They found rates of water infiltration improved with rye cover crop in only one year compared to winter fallow. Oat cover crops did not alter water infiltration rates compared to winter fallow or rye cover crops.  They found cover crops inconsistently affected interrill errosion rates.  They found rye cover crops were the most effective at reducing rill erosion.  They found reductions in water runoff rates with cover crops in only one out of two years of this study.  They found rye cover crops increased soil volumetric water content in one out of three years of the study, while oat had no affect compared to winter fallow. ","Over the course of this three year study, oat and rye cover crops had no effect on soil bulk density compared to the control (winter fallow). ""In 1998, the rye cover crop incrased the infiltration rate by 16% and reduced runoff by 10% compared with the control. The infiltration rate of the oat cover crop treatment, although not significantly different, was intermediate to that of the control and rye treatment."" Reductions in interrill erosion rates were observed with rye cover crops two of the three years compared to winter fallow. Oat cover crops reduced interrill erosion as well in one year, but had similar interrill erosion rates as winter fallow in the other two years of the study. Cover crops substantially reduced rill erosion rates in this study. Rye cover crops were the most effective at reducing rill erosion compared to winter fallow. Oat cover crops also reduced rill erosion but to a lesser extent than rye. Rates of water runoff rates improved with rye cover crop in only one year compared to winter fallow. Oat cover crops did not alter water runoff rates compared to winter fallow or rye cover crops. Rye cover crops improved the mean volumetric water content by the third year of this study compared to winter fallow and oat cover crops. For the first two years of the study, there were no differences in mean soil volumetric water content among rye, oat and winter fallow."
"14",14,"They found rye cover crop either reduced or had no affect on the total nitrate concentrations in the ground water compared to winter fallow.  They found rye cover crop either reduced or had no affect on discharge compared to winter fallow.  They found rye cover crops did not affect maize or soybean yields compared to winter fallow.  They found rye cover crops had relatively little affect on soil nitrate levels compared to winter fallow.  They found rye cover crop either reduced or had no affect on the total nitrate losses per hectare compared to winter fallow. ","""Averaged across three years, the cropping system with rye cover crop reduced sub-surface drainage discharge by 11% and nitrate loss in subsurface drainage discharge by 13% compared with the cropping system with no cover crop in this study."" Maize and soybean yields were unaffected by winter cover crops compared to winter fallow. While soil nitrate levels varied with crop year and sampling event (preceeding the planting and following harvest of maize or soybean) rye cover crops reduced nitrate levels in only one sampling event (preceeding soybean in first year of the study) over the course of three years. Rye cover crops had relatively little effect on the amount of total nitrate lost from soybean and maize systems during this three year study. Reductions in total nitrate were observed in the first year in maize and in the second year in soybean (p = 0.1)."
"15",15,"They found rye/oat cover crops decreased the amount of total nitrogen available in soils. ","Total soil nitrate (nitrate + ammonium) in the 0-120 cm depth decreased in both the row and interrow positions when rye/oat cover crops were grown compared to winter fallow."
"16",16,"They found slender wheatgrass had no affect on the diversity of invertebrate predators.  They found root damage caused by Western corn rootworm decreased when slender wheatgrass was grown as a winter cover crop.  They found the abundance of Western corn rootworm was either unaffected or reduced when slender wheatgrass was grown as a cover crop.  They found similar numbers of predator species in winter fallow and slender wheatgrass plots. ","The diversity of invertebrate predator species was similar among plots with slender wheatgrass winter cover crops and winter fallow. Maize root damage cause by Western corn rootworm decreased when slender wheatgrass was grown. First and second instar Western corn rootworms were unaffected by slender wheatgrass as a winter cover crop. Third instar Wester corn rootworms, however, decreased in abundance withe slender wheatgrass compared to winter fallow. Slender wheatgrass had relatively little effect on number of predator species found compared to winter fallow."
"17",17,"They found average annual soil water storage was relatively unaffected by rye cover crops.  They found similar average annual subsurface drainage between winter fallow and rye cover crop.  They found similar maize and soybean yields were observed between winter fallow and rye cover crop. ","Rye cover crops had little effect on the average annual soil water storage compared to winter fallow except for in the first year of the study in maize where annual soil water storage increased with rye cover crop. Rye cover crops did not reduce the average annual subsurface drainage compared to winter fallow. Maize and soybean in the plots with rye as a winter cover did not show grain yield disadvantage compared with plots without winter cover crops."
"18",18,"They found similar concentrations of nitrate in subsurface drainage when rye cover crops were included in the rotation compared to winter fallow.  They found soil nitrate levels were reduced with rye winter cover crops compared to winter fallow prior to planting soybeans.  They found similar concentrations of flow-weighted nitrate in subsurface drainage when rye cover crops were included in the rotation compared to winter fallow.  They found maize and soybean yields were unaffected by rye winter cover crops compare to winter fallow.  They found total aboveground nitrogen uptake in maize and soybean were unaffected by winter rye cover crops compared to winter fallow. ","The four year average of subsurface drainage nitrate concentrations with winter rye cover crops was similar to winter fallow. In a maize-soybean rotation, rye winter cover crops reduced soil nitrate levels compared to winter fallow prior to planting soybeans. This effect of rye cover crops was not observed prior to planting maize. Averaged over four years, the concentrations of flow-weighted nitrate in subsurface drainage were similar when rye cover crops were grown as a winter cover crop compared to winter fallow. However, rye significantly reduced seasonal nitrate concentration in drainage flow and soil nitrate accumulation in spring Averaged over four years, winter rye cover crops had no effect on maize and soybean yields compared to winter fallow. Cash crops had similar amounts of total nitrogen uptake when rye cover crops were included in the rotation compared to winter fallow."
"19",19,"They found rye cover crops significantly reduced the number of aphids (Aphis glycines) colonizing each infested plant compared with winter fallow.  They found rye cover crops significantly reduced the proportion of plants infested by Aphis glycines compared with winter fallow. ","Over the course of a single field season, the infestation of Aphis glycine rating was lower in soybean fields with rye than without. Over the course of a single field season, the proportion of soybean plants infested with Aphis glycine was lower in soybean fields with rye than without."
"20",20,"They found rye cover crop had no affect on cumulative nitrous oxide emissions compared to winter fallow.  They found average annual soil water storage was relatively unaffected by rye cover crops. ","The effect cover crops have on the cumulative nitros oxide emissions were inconsistent across fertilizer treatments. Generally, when no fertilizer is added the addition of rye cover crops reduced the cumulative nitrous oxide emissions. However, at medium fertilization rates (135 kg N / ha) cover crops increased emissions. There were no differences in emissions at high levels of fertilization (225 kg N / ha). While there was no statistical difference in cumulative nitrous oxide emissions with winter rye cover crops, the effect rye had on emissions was inconsistent across fertilizer treatments. Generally, when no fertilizer was added the addition of rye cover crops reduced the cumulative nitrous oxide emissions. However, at medium fertilization rates (135 kg N / ha) cover crops increased emissions. There was no difference in emissions at high levels of fertilization (225 kg N / ha)."
"21",21,"They found winter rye cover crop reduced maize nitrogen uptake compared to winter fallow.  They found winter rye cover crop reduced maize dry matter yields compared to winter fallow.  They found soil phosphorous levels (0-90 cm depth) in the spring and fall were unaffected by winter rye crops compared to winter fallow.  They found soil nitrate levels in the top 60 cm of soil were unaffected by rye cover crops in the fall, but between 60-90 cm nitrate levels were reduced with winter rye. Soil nitrate in the spring (0-60 cm depth) were also reduced with winter rye cover crops.  They found soil organic carbon levels descreased with winter rye cover crop compared to winter fallow. ","The addition of a winter rye cover crop reduced maize yields and nitrogen uptake. Olsen phosphorous storage from 0-90 cm in depth measured in the fall and spring were similar among fields with winter rye cover crops and winter fallow. Winter rye cover crops reduced soil nitrate levels in the fall between 60-90 cm in depth and in the spring between 0-60 cm depth. In the fall, the top 60 cm of soil had similar soil nitrate levels with winter rye compared to winter fallow. While the rye cover crop may have contributed to increased soil organic carbon concentration, the soil organic carbon in the fall of 2008 after rye was similar to previous years. This result, along with relatively high manure carbon additions (12 MG /ha) compared with rye aboveground biomass (0.9 MG / ha), suggests that one year of rye cover crop tilled into the soil was not likely the primary contributor to the observed increase in soil organic carbon concentration."
"22",22,"They found all of the cover crops (Austrian winter pea, hairy vetch, rye, winter barley, winter triticale) tested reduced weed biomass compared to winter fallow.  They found in the first year of the study only Austrian winter pea reduced weed densities after the termination of cover crops, but in the second year all cover crop species except winter triticale significantly reduced weed density compared to winter fallow. ","In this two year study, each cover crop tested significantly reduced weed biomass compared to winter fallow  control. The cover crops that performed the best were winter rye (2010 & 2011), Austrian winter pea (2010, poor germination in 2011 led to no analysis of these plots), and Winter barley (2011 only). In this two year study, each cover crop tested significantly reduced weed biomass compared to winter fallow  control. The cover crops that performed the best were winter rye (2010 & 2011), Austrian winter pea (2010, untested in 2011), and Winter barley (2011 only). In 2010, Austrian winter peas was the only cover crop species tested that reduced weed density more than winter fallow. In 2011, all cover crop species except winter triticale significantly reduced weed density compared to winter fallow. Austrian winter peas did not germinate well in the field."
"23",23,"They found rye cover crops increased soil water content early in the growoing season at two of the three sites studies.  They found soil water storage at 0-80 cm depth increased with rye cover crops at some sites. ","Generally, rye cover crops increased soil water content at two sites included in this study. Where in the soil profile (0-20 cm) and when these increases occurred (relative to planting the cash crop) varied between sites. The greatest increases were observed at the site with the largest amount of rye biomass incorporated into the soil. Rye cover crop had no effect on soil water storage (0-80 cm depth) at one site while the other two sites increased in soil water storage early in the spring."
"24",24,"They found In this unreplicated study, winter rye had no affect on maize yield.  They found In this unreplicated study, winter rye had no affect on the harvest index for maize.  They found In this unreplicated study, winter rye had no affect on soil organic carbon in the spring.  They found In this unreplicated study, winter rye had no affect on total nitrogen in the spring. ","Unreplicated study. Rye cover crops did not affect maize grain yields, soil organic carbon, or total nitrogen in soils. Unreplicated study. Rye cover crops did not affect grain yields, soil organic carbon, or total nitrogen in soils."
"25",25,"They found rye cover crop had no affect on grain biomass.  They found increased surplus of nitrogen available with rye cover crops compared to no winter cover crops.  They found rye cover crops increased the nitrogen available in soils compared to no winter cover crops.  They found rye cover crops had no affect on nitrogen removal compared to winter fallow.  They found rye cover crops had no impact on phosphorous balance compared to winter fallow.  They found rye cover crops had no impact on phosphorous input compared to winter fallow.  They found rye cover crops had no impact on phosphorous removal compared to winter fallow.  They found rye cover crops had no impact on potassium balance compared to winter fallow.  They found rye cover crops had no impact on potassium input compared to winter fallow.  They found rye cover crops had no impact on potassium removal compared to winter fallow.  They found winter rye had no affect on maize root biomass at the four sites included in this study. ","In this four year study, grain biomass was unaffected by rye winter cover crop compared to winter fallow. Rye cover crops added more nitrogen to soils and had no impact on nitrogen removal resulting in higher nitrogen balance compared to winter fallow. Rye cover crops had no effect on phosphorous inputs, removal, or balance compared to winter fallow. Maize root biomass (0-100 cm depth) were unaffected by winter rye as a winter cover crop compared to winter fallow at the four sites included in this experiment."
"26",26,"They found annual rye grass had no impact on corn silage yield.  They found a mixture of oat and winter rye cover crops had no impact on corn silage yield.  They found annual rye grass and oat/winter rye had either no affect or increased microbial biomass compared to winter fallow.  They found annual rye grass and oat/winter rye cover crops increased the amount of particulate organic matter in soils compared to winter fallow.  They found cover crops (annual rye grass or oat/winter rye mixtures) had no affect on soil penetration resistance (compaction) in the fall.  They found in the first year of the experiment annual rye grass and oat/winter rye cover crops increased soil penetration resistance (compaction) in the spring compared to winter fallow. ","Corn silage yields were statistically unimpacted by the cover crops (annual rye grass and oat/winter rye) included in this two year study. In the first year of the study, however, corn silage yields were lower when winter cover crops were grown. There was very little difference in yields between cover crop and no cover crop in the second year of the study. ""In 2007, there were no significant differences in microbial biomass on a volumetric basis, whereas in 2008, oat + winter rye and annual ryegrass had greater microbial biomass than control."" ""Both cover crop treatments had greater particulate organic carbon than the no cover crop control. Th e 0-to 5-cm soil layer had more (P = 0.01) particulate organic carbon (3.64 kg m–3) than the 5- to 15-cm layer (2.96 kg m–3). There were no particulate organic carbon treatment interactions with depth or date."" In the fall, cover crops had no effect on soil compaction. ""This study showed that compaction was increased in the winter cover crop grazed treatments the first year [in the spring]. Nonetheless, 1 year later, soil compaction in both of the previously grazed cover crop treatments was reduced to levels that were similar to the control."""
"27",27,"They found air filled pore space was unimpacted by rye cover crops.  They found winter rye reduced soil bulk density in second year with no impact of cover crop in the third year.  They found soil moisture measured gravimetrically was unaffected by winter rye cover crops.  They found fluid diffusion measured as pore tortuosity factor was unaffected by winter rye cover crops.  They found relative gas diffusion was unaffected by winter rye cover crops.  They found total pore space increased with winter rye cover crops in the second year of the study, but was similar to winter fallow in the third year of the study.  They found volumetric air content was unaffected by winter rye cover crops.  They found water filled pore space was unaffected by winter rye cover crops. ","There were no impacts of winter rye cover crops on air filled pore space compared to winter fallow in the second and third years of this study. Soil bulk density was lower in the second year of this study when winter rye cover crops were grown compared to winter fallow. In the third year, there were no differences in soil bulk density between winter rye and the control. Winter rye cover crop had no effect on soil moisture (gravimetric water) compared to winter fallow in this three year study. The pore tortuosity factors were similar among plots with winter rye cover crops and winter fallow over this three year study. Relative gas diffusion rates were similar among plots with winter rye cover crops and winter fallow over this three year study. Total pore space in soils increased with winter rye cover crops after two winter with winter rye. In the third year of the study, total pore space was similar between winter rye and winter fallow. Volumetric air content was similar among plots with winter rye cover crops and winter fallow over this three year study. Water filled pore space was similar among plots with winter rye cover crops and winter fallow over this three year study."
"28",28,"They found consistent reduction in maize grain yields and nitrogen uptake of maize grain and aboveground biomass with winter rye cover crops compared to winter fallow.  They found soybean grain yields were unaffected by winter rye cover crops.  They found moderate decrease in soil nitrate with winter rye immediately following termination of the cover crop and after maize harvest compared to winter fallow. ","Maize grain yields and nitrogen uptake of aboveground tissue and grains were greater with no-rye cover crop than with rye cover crop at all six fertility levels. Unlike maize grain yields in this study, soybean grain yields were unaffected by winter rye cover crops compared to winter fallow at all fertility levels. ""Spring profile NO3–N was measured only in corn plots with no nitrogen application. The NO3–N was low at the time of rye cover crop control, and with 15 kg N ha-1 less with rye cover crop than no-rye cover crop. However, there was no difference from the rye cover crop in early June. Soil NO3–N increased slightly with the rye cover crop from the preplant sampling to early June (8 kg N ha-1 increase), indicating some net nitrogen recycling to soil in the rye cover crop system; whereas with no-rye cover crop there was a slight decrease (4 kg N ha-1 less). In either case, change in soil NO3–N was not large. """
