"","Paper_id","DOI","Authors","Authors_abbrev","PubYear","Journal","Volume_issue","Title","Pages","ReaderName","DateRead","Notes","Loc_multi","Soil_type","City","State","Latitude","Longitude","Year_start","Years_num","Annual_precip","Field_history","Exp_design","Exp_arrangement","Reps","Plot_width","Plot_length","Trtmt_levels","Trtmt_main","Trtmt_main_levels","Trtmt_splitA","Trtmt_splitA_levels","Trtmt_splitB","Trtmt_splitB_levels","Trtmt_splitC","Trtmt_splitC_levels"
"11",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",4,"silt loam",NA,"IN",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"12",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",5,"silt loam",NA,"IL",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"13",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",6,"silt loam",NA,"IL",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"14",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",7,"silt loam",NA,"IL",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"15",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",8,"silty clay loam",NA,"MO",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"16",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",9,"silt loam",NA,"MO",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"17",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",10,"silty clay loam",NA,"OH",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"18",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",11,"silty clay loam",NA,"OH",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"19",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",12,"silt loam",NA,"TN",NA,NA,2013,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"20",5,"10.1017/wet.2017.30","Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.","Loux et al.",2017,"Weed Technology","31","Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean","487-495","LWA",2018-02-27,"also fits cover crop termination review",13,"silt loam",NA,"TN",NA,NA,2014,1,NA,NA,"randomized experimental design","split-split-plot","4",NA,NA,3,"cover crops",3,"crop herbicide resistance",2,"herbicides",3,NA,NA
"21",6,"www.jstor.org/stable/3987624","Johnson, G.A., Defelice, M.S. & Helsel, Z.R.","Johnson et al.",1993,"Weed Technology","7(2)","Cover crop management and weed control in Corn (Zea mays)","425-430","LWA",2018-02-27,NA,0,"Mexico silt loam (Udollic Ochraqualfs; fine montmorrillonitic, mesic)","Columbia","MO",NA,NA,1989,2,NA,NA,"randomized experimental design","split-split-plot","4",3,11,3,"cover crops",3,"cover crop termination",3,"herbicides",2,NA,NA
"22",7,"10.1016/j.agee.2009.05.008","Jarecki, M.K., Parkin, T.B., Chan, A.S.L., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. & Jones, R.","Jarecki et al.",2009,"Agriculture, Ecosystems and Environment","134","Cover crop effects on nitrous oxide emission from a manure-treated Mollisol","29-35","LWA",2018-02-28,NA,0,"Canisteo silty clay loam (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Clarion loam (fine-loamy, mixed, superactive, mesic Typic Hapludolls)","Ames","IA","42.02N","93.45W",2005,2,835,"The experimental area had been rotated annually with corn and soybean [Glycine max (L.) Merr.] since 1998, with an average N input of 150 kg N ha1 in the corn years.","randomized complete block design",NA,"4",3.8,21.3,1,"cover crops + manure",6,NA,NA,NA,NA,NA,NA
"23",8,"10.1614/WS-D-11-00192.1","Mock, V.A., Creech, J.E., Ferris, V.R., Faghihi, J., Westphal, A., Santini, J.B. & Johnson, W.G.","Mock et al.",2012,"Weed Science","60","Influence of winter annual weed management and crop rotation on soybean cyst nematode (Heterodera glycines) and winter annual weeds: Years four and five","634-640","LWA",2018-03-01,NA,1,"Raub-Brenton complex (finne-silty, mixes, superactive, mesic, Aquic Argiudolls)","West Lafayette","IN",NA,NA,2006,2,NA,"Conventional tillage, corn-soybean. Continuous no-tillage initiaed in spring 2003.","randomized complete block design","split-plot","6",9.1,9.9,2,"crop rotation",2,"weed management",3,NA,NA,NA,NA
"24",8,"10.1614/WS-D-11-00192.1","Mock, V.A., Creech, J.E., Ferris, V.R., Faghihi, J., Westphal, A., Santini, J.B. & Johnson, W.G.","Mock et al.",2012,"Weed Science","60","Influence of winter annual weed management and crop rotation on soybean cyst nematode (Heterodera glycines) and winter annual weeds: Years four and five","634-640","LWA",2018-03-01,NA,2,"Patton silt loam (fine-silty, mixed, superactive, Typic Endoaquolls)","Vincennes","IN",NA,NA,2006,2,NA,"Conventional tillage, corn-soybean. Continuous no-tillage initiaed in spring 2003.","randomized complete block design","split-plot","6",9.1,9.9,2,"crop rotation",2,"weed management",3,NA,NA,NA,NA
"25",9,"http://www.jstor.org/stable/25085273","Hammond, R. B.","Hammond",1991,"Journal of the Kansas Entomological Society","64(2)","Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean","216-220","LWA",2018-04-17,NA,1,NA,"Custar","OH",NA,NA,1987,1,NA,NA,"randomized complete block design","strip-block","4",12.8,12.8,2,"cover crops/planting date",4,NA,NA,NA,NA,NA,NA
"26",9,"http://www.jstor.org/stable/25085273","Hammond, R. B.","Hammond",1991,"Journal of the Kansas Entomological Society","64(2)","Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean","216-220","LWA",2018-04-17,NA,2,NA,"South Charleston","OH",NA,NA,1987,2,NA,NA,"randomized complete block design","strip-block","3",15.4,10.2,2,"cover crops/planting date",4,NA,NA,NA,NA,NA,NA
"27",9,"http://www.jstor.org/stable/25085273","Hammond, R. B.","Hammond",1991,"Journal of the Kansas Entomological Society","64(2)","Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean","216-220","LWA",2018-04-17,NA,3,NA,"Ripley","OH",NA,NA,1987,2,NA,NA,"randomized complete block design","strip-block","4",18.3,18.3,2,"cover crops/planting date",4,NA,NA,NA,NA,NA,NA
"28",10,"1abc","Johnson, T.J., Kaspar, T.C., Kohler, K.A., Corak, S.J., & Logsdon, S.D.","Johnson et al.",1998,"Journal of Soil and Water Conservation","53(3)","Oat and rye overseeded into soybean as fall cover crops in the upper Midwest","276-279","LWA",2018-07-10,NA,0,"Canisteo (fine-loamy, mixed, calcereous, mesic Typic Endoaquolls)","Ames","IA",NA,NA,1990,6,NA,"No-till maize and soybean","randomized complete block design",NA,"5",3.8,65.7,1,"cover crops",4,NA,NA,NA,NA,NA,NA
"29",11,"2abc","Williams, M.M. II, Mortensen, D.A., & Doran, J.W.","Williams et al.",2000,"Journal of Soil and Water Conservation","55(1)","No-tillage soybean performance in cover crops for weed management in western Corn Belt","79-84","LWA",2018-07-10,NA,1,"Sharpsburg silty clay loam (fine, montmorillonitic, mesic, typic Argiudoll)","Ithaca","NE",NA,NA,1994,1,NA,"Silage maize","randomized complete block design","strip-block split-plot","3",4.6,15,2,"cover crops",5,"irrigation",2,NA,NA,NA,NA
"30",11,"2abc","Williams, M.M. II, Mortensen, D.A., & Doran, J.W.","Williams et al.",2000,"Journal of Soil and Water Conservation","55(1)","No-tillage soybean performance in cover crops for weed management in western Corn Belt","79-84","LWA",2018-07-10,NA,2,"Sharpsburg silty clay loam (fine, montmorillonitic, mesic, typic Argiudoll)","Ithaca","NE",NA,NA,1995,1,NA,"Silage maize","randomized complete block design","strip-block split-plot","4",4.6,15,2,"cover crops",6,"irrigation",2,NA,NA,NA,NA
"31",12,"3abc","Rasse, D.P., Ritchie, J.T., Peterson, W.R., Wei, J., & Smucker, A.J.M.","Rasse et al.",2000,"Journal of Environmental Quality","29(1)","Rye cover crop and nitrogen fertilization effects on nitrate leaching in inbred maize fields","298-304","LWA",2018-07-11,NA,0,"Elston sandy loam (coarse-loamy, mixed mesic Typic Argiudolls)","Constantine","MI",NA,NA,1995,3,NA,"Inbred maize production","randomized complete block design",NA,"4",6.1,7.6,2,"cover crops",2,"fertilization rate",3,NA,NA,NA,NA
"32",13,"4abc","Kaspar, T.C., Radke, J.K, & Laflen, J.M.","Kaspar et al.",2001,"Journal of Soil and Water Conservation","56(2)","Small grain cover crops and wheel traffic effects on infiltration, runoff, and erosion","160-164","LWA",2018-07-16,NA,0,"Clarion lam soil (fine-loamy, mixed, superactive, mesic Typic Hapludolls)","Ames","IA",NA,NA,1994,3,NA,"Maize-soybean rotation","randomized complete block design","split-plot","5",3.81,61,2,"cover crops",3,"wheel traffic",2,NA,NA,NA,NA
"33",14,"5abc","Strock, J.S., Porter, P.M., & Russelle, M.P.","Strock et al.",2004,"Journal of Environmental Quality","33(3)","Cover cropping to reduce nitrate loss through subsurface drainage in the Northern U.S. Corn Belt","1010-116","LWA",2018-07-16,NA,0,"Normania clay loam soil (moderately well-drained)","Lamberton","MN",NA,NA,1998,3,670,NA,"randomized complete block design",NA,"4",13.7,15.3,2,"cropping system",4,"drainage tiles",2,NA,NA,NA,NA
"34",15,"10.1007/s10705-010-9345-9","Cambardella, C.A., Moorman, T.B., & Singer, J.W.","Cambardella et al.",2010,"Nutrient Cycling in Agroecosystems","87","Soil nitrogen response to coupling cover crops with manure injection","383-393","LWA",2018-07-18,NA,0,"Canisteo silty clay loam (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Clarion loam (fine-loamy, mixed, superactive, mesic Typic Hapludolls)","Boone County","IA",NA,NA,2005,2,NA,"Maize-soybean rotation","randomized complete block design",NA,"4",3.8,21.3,1,"cropping system + fertilizer",6,NA,NA,NA,NA,NA,NA
"35",16,"10.1603/EN10041","Lundgren, J.G, & Fergen, J.K","Lundgren & Fergen",2010,"Environmental Entomology","39(6)","The effects of a winter cover crop on Diabrotica virgifera (Coleoptera: Chrysomelidae) populations and beneficial arthropod communities in no-till maize","1816-1828","LWA",2018-07-19,NA,0,NA,"Brookings","SD","44.347999999999999","-96.811000000000007",2007,2,NA,"Maize-soybean rotation","completely randomized design",NA,"6 to 8",18,24,1,"cover crops",2,NA,NA,NA,NA,NA,NA
"36",17,"10.1016/j.agwat.2010.11.004","Qi, Z., Helmers, M.J., Kaleita, A.L.","Qi et al.",2010,"Agricultural Water Management","98","Soil water dynamics under various agricultural land covers on a subsurface drained field in north-central Iowa, USA","665-674","LWA",2018-07-19,NA,0,"Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludoll), Webster (fine-loam, mixed, superactive, calcareous, mesic Typic Endoaquolls), Canisteo (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Okoboji (Fine, smectitic, mesic Cumulic Vertic Endoaqulls)","Pocahontas County","IA",NA,NA,2006,3,NA,NA,"randomized complete block design",NA,"4",15.2,38,1,"cropping system",6,NA,NA,NA,NA,NA,NA
"37",18,"10.2134/jeq2011.0151","Qi, Z., Helmers, M.J., Christianson, R.D., & Pederson, C.H.","Qi et al.",2011,"Journal of Environmental Quality","40","Nitrate-nitrogen losses through subsurface drainage under various agricultural land covers","1578-1585","LWA",2018-07-20,NA,0,"Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludoll), Webster (fine-loam, mixed, superactive, calcareous, mesic Typic Endoaquolls), Canisteo (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Okoboji (Fine, smectitic, mesic Cumulic Vertic Endoaqulls)","Pocahontas County","IA",NA,NA,2005,4,NA,NA,"randomized complete block design",NA,"4",15.2,38,1,"cropping system",6,NA,NA,NA,NA,NA,NA
"38",19,"10.1603/EN11168","Koch, R.L., Porter, P.M., Harbur, M.M., Abrahamson, M.D., Wyckhuys, K.A.G., Ragsdale, D.W., Buchman, K., Sexen, Z., & Heimpel, G.E.","Koch et al.",2012,"Environmental Entomology","41(4)","Response of soybean insects to an autumn-seeded rye cover crop","750-760","LWA",2018-07-20,NA,0,NA,"statewide","MN",NA,NA,2005,1,NA,NA,"survey","paired tests","22",NA,NA,1,"cover crops",2,NA,NA,NA,NA,NA,NA
"39",20,"10.2136/sssaj2013.02.0074","Mitchell, D.C., Castellano, M.J., Sawyer, J.E, & Pantoja, J.","Mitchell et al.",2013,"Soil Science Society of America Journal","77","Cover crop effects on nitrous oxide emission: Role of mineralizable carbon","1765-1773","LWA",2018-07-23,NA,0,"Clarion loam soil (fine-loamy, mixed, superactive, mesic Typic Hapludolls)","Boone County","IA","42.02N","93.77W",2009,3,872,"No-till maize and soybean","randomized complete block design","split-plot","4",6.1,15.2,2,"cover crops",2,"fertilization rate",3,NA,NA,NA,NA
"40",21,"10.2489/jswc.68.6.438","Krueger, E.S., Baker, J.M., Ochsner, T.E., Wente, C.D., Feyereisen, G.W. & Reicosky, D.C.","Krueger et al.",2013,"Journal of Soil and Water Conservation","68(6)","On-farm environmental assessment of corn silage production systems receiving liquid dairy manure","438-449","LWA",2018-07-23,NA,0,"calcareous loamy glacial till (characteristic of the prarie pothole soiils of the Upper Midwest)","west central","MN",NA,NA,2008,1,NA,"privately owned dairy farm, continuous corn with fall manure application (5-10 years) then transitioned to 4 years alfalfa without manure","grided sampling of 56 acre fields",NA,"1",NA,NA,1,"cover crops",2,NA,NA,NA,NA,NA,NA
"41",22,"10.1080/21683565.2014.901275","Silva, E.M.","Silva",2014,"Agroecology and Sustainable Food Systems","38","Screening five fall-sown cover crops for use in organic no-till crop production in the upper Midwest","748-763","LWA",2018-07-25,NA,0,"Plano silt loam (fine-silty, mixed, superactive mesic Typic Argiudoll)","Arlington","WI","43<U+25E6>18’ N","89<U+25E6>21’ W",2010,2,NA,"alfalfa stand terminated with chisel plowing","randomized complete block design","split-plot","4",9.14,15.24,2,"cover crop termination",2,"cover crops",6,NA,NA,NA,NA
"42",23,"10.2489/jswc.69.6.564","Daigh, E.L., Helmers, M.J., Kladivko, E., Zhou, X., Goeken, R., Cavdini, J., Barker, D., & Sawyer, J.","Daigh et al.",2014,"Journal of Soil and Water Conservation","69(6)","Soil water during the drought of 2012 as affected by rye cover crops in fields in Iowa and Indiana","564-573","LWA",2018-07-25,NA,1,"Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludoll), Webster (fine-loam, mixed, superactive, calcareous, mesic Typic Endoaquolls), Canisteo (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls)","Agricultural Drainage Water Research Site","IA","42°74'77<U+2033> N","94°49'52<U+2033> W",2012,1,84.7,"Maize-soybean rotation","randomized complete block design",NA,"2",15,38,2,"cash crop",2,"cover crops",2,NA,NA,NA,NA
"43",23,"10.2489/jswc.69.6.564","Daigh, E.L., Helmers, M.J., Kladivko, E., Zhou, X., Goeken, R., Cavdini, J., Barker, D., & Sawyer, J.","Daigh et al.",2014,"Journal of Soil and Water Conservation","69(6)","Soil water during the drought of 2012 as affected by rye cover crops in fields in Iowa and Indiana","564-573","LWA",2018-07-25,NA,2,"Clarion (fine-loamy, mixed, superactive, mesic Typic Hapludolls), Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludoll), Webster (fine-loamy, mixed, superactive, mesic Aquic Hapludoll)","Iowa State University Agronomy and Agricultural Engineering Research Farm","IA","42°00'94<U+2033> N","93°78'06<U+2033> W",2012,1,90.7,"Maize-soybean rotation","randomized complete block design",NA,"2",15,6,2,"cash crop",2,"cover crops",2,NA,NA,NA,NA
"44",23,"10.2489/jswc.69.6.564","Daigh, E.L., Helmers, M.J., Kladivko, E., Zhou, X., Goeken, R., Cavdini, J., Barker, D., & Sawyer, J.","Daigh et al.",2014,"Journal of Soil and Water Conservation","69(6)","Soil water during the drought of 2012 as affected by rye cover crops in fields in Iowa and Indiana","564-573","LWA",2018-07-25,NA,3,"Nabb (fine-silty, mixed, active, mesic Aquic Fragiudalf)","Southeast Purdue Agricultural Center","IN","39°02'85<U+2033> N","85°54'00<U+2033> W",2012,1,118.6,"Maize-soybean rotation","randomized complete block design",NA,"2",18,360,2,"cash crop",2,"cover crops",2,NA,NA,NA,NA
"45",24,"10.1007/s12665-014-3353-z","de Paul Obade, V. & Lal, R.","de Paul Obade & Lal",2014,"Journal of Environmental Earth Sciences","72","Soil quality evaluation under different land management practices","4531-4549","LWA",2018-07-26,NA,0,"Crosby silt loam (fine, mixed, active, mesic Aeric Epiaqualfs)","Miami","OH","40°10'12<U+2033> N","84°07'41.7<U+2033> W",2012,1,110,"Maize-soybean rotation, 5 yrs no-tillage","farmer field study",NA,"1",NA,NA,1,"cover crops",2,NA,NA,NA,NA,NA,NA
