Paper_id,DOI,Authors,Authors_abbrev,PubYear,Journal,Volume_issue,Title,Pages,ReaderName,DateRead,Notes
12,3abc,"Rasse, D.P., Ritchie, J.T., Peterson, W.R., Wei, J., & Smucker, A.J.M.",Rasse et al.,2000,Journal of Environmental Quality,29(1),Rye cover crop and nitrogen fertilization effects on nitrate leaching in inbred maize fields,298-304,LWA,7/11/2018,
13,4abc,"Kaspar, T.C., Radke, J.K, & Laflen, J.M.",Kaspar et al.,2001,Journal of Soil and Water Conservation,56(2),"Small grain cover crops and wheel traffic effects on infiltration, runoff, and erosion",160-164,LWA,7/16/2018,
14,5abc,"Strock, J.S., Porter, P.M., & Russelle, M.P.",Strock et al.,2004,Journal of Environmental Quality,33(3),Cover cropping to reduce nitrate loss through subsurface drainage in the Northern U.S. Corn Belt,1010-116,LWA,7/16/2018,
15,10.1007/s10705-010-9345-9,"Cambardella, C.A., Moorman, T.B., & Singer, J.W. ",Cambardella et al.,2010,Nutrient Cycling in Agroecosystems,87,Soil nitrogen response to coupling cover crops with manure injection,383-393,LWA,7/18/2018,
16,10.1603/EN10041,"Lundgren, J.G, & Fergen, J.K",Lundgren & Fergen,2010,Environmental Entomology,39(6),The effects of a winter cover crop on Diabrotica virgifera (Coleoptera: Chrysomelidae) populations and beneficial arthropod communities in no-till maize,1816-1828,LWA,7/19/2018,
17,10.1016/j.agwat.2010.11.004,"Qi, Z., Helmers, M.J., Kaleita, A.L.",Qi et al.,2010,Agricultural Water Management,98,"Soil water dynamics under various agricultural land covers on a subsurface drained field in north-central Iowa, USA",665-674,LWA,7/19/2018,
18,10.2134/jeq2011.0151,"Qi, Z., Helmers, M.J., Christianson, R.D., & Pederson, C.H.",Qi et al.,2011,Journal of Environmental Quality,40,Nitrate-nitrogen losses through subsurface drainage under various agricultural land covers,1578-1585,LWA,7/20/2018,
19,10.1603/EN11168,"Koch, R.L., Porter, P.M., Harbur, M.M., Abrahamson, M.D., Wyckhuys, K.A.G., Ragsdale, D.W., Buchman, K., Sexen, Z., & Heimpel, G.E.",Koch et al.,2012,Environmental Entomology,41(4),Response of soybean insects to an autumn-seeded rye cover crop,750-760,LWA,7/20/2018,
20,10.2136/sssaj2013.02.0074,"Mitchell, D.C., Castellano, M.J., Sawyer, J.E, & Pantoja, J.",Mitchell et al.,2013,Soil Science Society of America Journal,77,Cover crop effects on nitrous oxide emission: Role of mineralizable carbon,1765-1773,LWA,7/23/2018,
21,10.2489/jswc.68.6.438,"Krueger, E.S., Baker, J.M., Ochsner, T.E., Wente, C.D., Feyereisen, G.W. & Reicosky, D.C.",Krueger et al.,2013,Journal of Soil and Water Conservation,68(6),On-farm environmental assessment of corn silage production systems receiving liquid dairy manure,438-449,LWA,7/23/2018,
22,10.1080/21683565.2014.901275,"Silva, E.M.",Silva,2014,Agroecology and Sustainable Food Systems,38,Screening five fall-sown cover crops for use in organic no-till crop production in the upper Midwest,748-763,LWA,7/25/2018,
23,10.2489/jswc.69.6.564,"Daigh, E.L., Helmers, M.J., Kladivko, E., Zhou, X., Goeken, R., Cavdini, J., Barker, D., & Sawyer, J.",Daigh et al.,2014,Journal of Soil and Water Conservation,69(6),Soil water during the drought of 2012 as affected by rye cover crops in fields in Iowa and Indiana,564-573,LWA,7/25/2018,
24,10.1007/s12665-014-3353-z,"de Paul Obade, V. & Lal, R.",de Paul Obade & Lal,2014,Journal of Environmental Earth Sciences,72,Soil quality evaluation under different land management practices,4531-4549,LWA,7/26/2018,
25,10.1111/gcbb.12096,"Jarchow, M.E., Liebman, M., Dhungel, S., Dietzel, R., Sundberg, D., Anex, R.P., Thompson, M.L., & Chua, T.",Jarchow et al.,2015,Global Change Biology Bioenergy,7,"Trade-offs among agronomic, energetic, and environmental performance characteristics of corn and prairie bioenergy cropping systems",57-71,LWA,7/26/2018,
26,10.2134/agronj2009.0144,"Stefani Faé, G., Sulc, R.M., Barker, D.J., Dick, R.P., Eastridge, M.L., & Lorenz, N.",Stefani Fae et al.,2009,Agronomy Journal,101,Integrating winter annual forages into a no-till corn silage system,1286-1296,LWA,7/27/2018,
27,10.1515/intag-2015-0030,"Haruna, S.I., & Nkongolo, N.V.",Haruna & Nkongolo,2015,International Agrophysics,29,"Effects of tillage, rotation and cover crop on the physical properties of a silt-loam soil",137-145,LWA,7/30/2018,
28,10.2136/sssaj2015.02.0084,"Pantoja, J.L, Woli, K.P., Sawyer, J.E., & Barker, D.W.",Pantoja et al.,2015,Soil Science Society of America Journal,79,Corn nitrogen fertilization requirement and corn-soybean productivity with a rye cover crop,1482-1495,LWA,7/30/2018,
29,10.1111/afe.12099,"Koch, R.L., Sezen, Z., Porter, P.M., Ragsdale, D.W., Wyckhuys, K.A.G., & Heimpel, G.E.",Koch et al.,2015,Agricultural and Forest Entomology,17,On-farm evaluation of a fall-seeded rye cover crop for suppression of soybean aphid (Hemiptera: Aphididae) on soybean,239-246,LWA,7/31/2018,
30,10.2134/jeq2015.02.0080,"Daigh, A.L.M, Zhou, X., Helmers, M.J., Pederson, C.H., Horton, R., Jarchow, M., & Liebman, M.",Daigh et al.,2015,Journal of Environmental Quality,44,Subsurface drainage nitrate and total reactive phosphorous losses in bioenergy-based prairies and corn systems,1638-1646,LWA,7/31/2018,
31,10.2135/cropsci2005.09.0306,"Miguez, F.E., & Bollero, G.A.",Miguez & Bollero,2006,Crop Science,46(4),Winter cover crops in Illinois: Evaluation of ecophysiological characteristics of corn,1536-1545,LWA,8/2/2018,
32,10.2136/sssaj2013.09.0403,"Blesh, J., & Drinkwater, L.E.",Blesh & Drinkwater,2014,Journal of Soil Biology and Biochemistry,78,Retention of 15N-labeled fertilizer in an Illinois prairie soil with winter rye,496-508,LWA,8/2/2018,
33,10.2134/agronj13.0370,"Acuna, J.C., & Villamil, M.B.",Acuna & Villamil,2014,Agronomy Journal,106,Short-term effects of cover crops and compaction on soil properties and soybean production in Illinois,860-870,LWA,8/3/2018,
34,6abc,"Ruffo, M.L., Bullock, D.G., & Bollero, G.A",Ruffo et al.,2004,Agronomy Journal,96(3),Soybean yield as affected by biomass and nitrogen uptake of cereal rye in winter cover crop rotation,800-805,LWA,8/6/2018,
35,10.2134/agronj2005.0052,"Andraski, T.W., & Bundy, L.G.",Andraski & Bundy,2005,Agronomy Journal,97(4),Cover crop effects on corn yield response to nitrogen on an irrigated sandy soil,1239-1244,LWA,8/6/2018,
36,10.2136/sssaj2005.0095,"Kaspar, T.C., Parkin, T.B., Jaynes, D.B., Cambardella, C.A., Meek, D.W., & Jung, Y.S.",Kaspar et al.,2006,Soil Science Society of Americal Journal,70(4),Examining changes in soil organic carbon with oat and rye cover crops using terrain covariates,1168-1177,LWA,8/6/2018,
37,10.2134/jeq2005.0183,"Parkin, T.B., & Kaspar, T.C.",Parkin & Kaspar,2006,Journal of Environmental Quality,35(4),Nitrous oxide emissions from corn-soybean systems in the Midwest,1496-1506,LWA,8/7/2018,
38,0.2134/agronj2016.10.0613,"Dozier, I.A., Behnke, G.D., Davis, A.S., Nafziger, E.D., & Villamil, M.B.",Dozier et al.,2017,Agronomy Journal,109,Tillage and cover cropping effects on soil properties and crop production in Illinois,1261-1270,LWA,8/7/2018,
39,10.1016/j.fcr.2016.06.016,"Martinez-Feria, R.A., Dietzel, R., Liebman, M., Helmers, M.J., & Sotirios, V.A.",Martinez-Feria et al.,2016,Field Crops Research,196,Rye cover crop effects on maize: A system-level analysis,145-159,LWA,8/8/2018,
40,10.1016/j.agee.2016.07.003,"Fox, A.F., Kim, T.N., Bahlai, C.A., Woltz, J.M., Gratton, C., & Landis, D.A.",Fox et al.,2016,"Agriculture, Ecosystems and Environment",232,Cover crops have neutral effects on predator communities and biological control services in annual cellulosic bioenergy cropping systems,101-109,LWA,8/8/2018,
41,10.1007/s12155-017-9858-z,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G.",Ruis et al.,2017,Bioenergy Research,10,Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?,992-1004,LWA,8/9/2018,
42,10.1017/wet.2017.23,"Cornelius, C.D., & Bradley, K.W.",Cornelius & Bradley,2017,Weed Technology,31,Influence of various cover crop species on winter and summer annual weed emergence in soybean,503-513,LWA,8/10/2018,
43,10.1093/ee/nvw177,"Dunbar, M.W., Gassmann, A.J., & O'Neal, M.E.",Dunbar et al.,2017,Environmental Entomology,46(2),"Limited impact of a fall-seeded, spring-terminated rye cover crop on beneficial arthropods",284-290,LWA,8/13/2018,
44,10.1097/SS.0000000000000187,"Meng, Y., Chua-Ona, T., & Thompson, M.L.",Meng et al.,2016,Soil Science,181(11/12),Short-term nitrogen mineralization potential in soils of biofuel cropping systems,503-512,LWA,8/13/2018,
45,10.1016/j.still.2015.06.015,"Negassa, W., Price, R.F., Basir, A., Snapp, S.S., & Kravchenko, A.",Negassa et al.,2015,Soil & Tillage Research,154,Cover crop and tillage systems effect on soil CO2 and N2O fluxes in contrasting topographic positions,64-74,LWA,8/23/2018,
46,10.2135/cropsci2005.09-0296,"Chen, S., Wyse, D.L., Johnson, G.A., Porter, P.M., Stetina, S.R., Miller, D.R., Betts, K.J., Klossner, L.D., & Haar, M.J.",Chen et al.,2006,Crop Science,46(5),"Effect of cover crops alfalfa, red clover, and perennial ryegrass on soybean cyst nematode population and soybean and corn yields in Minnesota",1890-1897,LWA,8/24/2018,
47,10.1016/j.agwat.2016.04.006,"Basche, A.D., Kaspar, T.C., Archontoulis, S.V., Jaynes, D.B., Sauer, T.J., Parkin, T.B., & Miguez, F.E.",Basche et al.,2016,Agricultural Water Management,172,Soil water improvements with long-term use of winter rye cover crop,40-50,LWA,10/22/2018,
48,10.2134/jeq2013.12.0529,"Lacey, C. & Armstrong, S.",Lacey & Armstrong,2014,Journal or Environmental Quality,44,The efficacy of winter cover crops to stabilize soil inorganic nitrogen after fall-applied anhydrous ammonia,442-448,LWA,10/30/2018,
49,10.1094/PDIS-07-16-1067-RE,"Wen, L., Lee-Marzano, S., Ortiz-Ribbing, L.M., Gruver, J., Hartman, G.L., & Eastburn, D.M.",Wen et al.,2017,Plant Disease,101,Suppression of soilborne diseases of soybean with cover crops,1918-1928,LWA,10/31/2018,
50,10.2489/jswc.68.5.411,"Grabber, J.J. & Jokela, W.E.",Grabber & Jokela,2012,Journal of Soil and Water Conservation,68(5),Off-season groundcover and runoff characteristics of perennial clover and annual grass companion crops for no-till corn fertilized with manure,411-418,LWA,11/1/2018,
51,10.2489/jswc.70.6.353,"Kaspar, T.C., & Bakker, M.G.",Kaspar & Bakker,2015,Journal of Soil and Water Conservation,70(6),Biomass production of 12 winter cereal cover crop cultivars and their effect on subsequent no-till corn yield,353-364,LWA,11/1/2018,
52,10.2136/sssaj2014.10.0399,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A.",Wegner et al.,2015,Soil Science Society of America Journal,79,Soil response to corn residue removal and cover crops in eastern South Dakota,1179-1187,LWA,11/2/2018,
53,10.1007/s12155-014-9413-0,"Osborne, S.L., Johnson, J.M.F., Jin, V.L., Hammerbeck, A.L., Varvel, G.E., & Schumacher, T.E.",Osborne et al.,2014,Bioenergy Research,7(2),Impact of corn residue removal on soil aggregates and particulate organic matter,559-567,LWA,11/2/2018,
54,10.2489/jswc.72.3.260,"Rorick, J.D. & Kladivko, E.J.",Rorick & Kladivko,2017,Journal of Soil and Water Conservation,72,Cereal rye cover crop effects on soil carbon and physical properties in southeaster Indiana,260-265,LWA,11/2/2018,
55,7abc,"Kessavalou, A. & Walters, D.T.",Kessavalou & Walters,1997,Agronomy Journal,89,Winter rye as a cover crop following soybean under consercation tillage,68-71,LWA,11/5/2018,
56,8abc,"Power, J.F., Doran, J.W., & Koerner, P.T.",Power et al.,1991,Journal of Production Agriculture,4(1),Hairy vetch as a winter cover crop for dryland corn production,62-67,LWA,11/14/2018,
57,9abc,"Stute, J.K., & Posner, J.L.",Stute & Posner,1995,Agronomy Journal,87,Synchrony between legume nitrogen release and corn demand in the Upper Midwest,1063-1069,LWA,11/15/2018,
58,10abc,"Zhu, J.C., Gantzer, C.J., Anderson, S.H., Beuselinck, P.R., & Alberts, E.E.",Zhu et al.,1991,Journal of Soil and Water Conservation,46(6),Water-use evaluation of winter cover crops for no-till soybeans,450-456,LWA,11/26/2018,
