Change Status,Paper_id,Duration,Year_result,Loc_multi_results,Review_id,Group_RV,Response_var,RV_depth,RV_year,RV_trtspecifics,Response_var_units,Stat_test,Stat_type,Trt1,Trt1_int,Trt1_int2,Trt1_value,Trt2,Trt2_int,Trt2_int2,Trt2_value,significance,finelevel_group,Trt1_name,Trt1_description,Trt2_name,Trt2_description,Tillage_1,Tillage_2,Res_key,group_metric,main_group,per_change,actual_diff,sample_depth,sample_year,Tillage_1name,Tillage_2name,Tillage_compare
ok,152,1989-8,7,0,Tillage,Soil,residue cover,,7,,%,LSM,mean,0,NA,NA,6,1,NA,NA,22,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,6051,Surface Residue,Physical,266.6666667,16,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,152,1989-8,7,0,Tillage,Soil,residue cover,,7,,%,LSM,mean,0,NA,NA,6,2,NA,NA,76,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,6052,Surface Residue,Physical,1166.666667,70,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,152,1989-8,8,0,Tillage,Soil,residue cover,,8,,%,LSM,mean,0,NA,NA,6,2,NA,NA,91,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,6054,Surface Residue,Physical,1416.666667,85,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,152,1989-8,8,0,Tillage,Soil,residue cover,,8,,%,LSM,mean,1,NA,NA,18,2,NA,NA,91,0.05,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,9929,Surface Residue,Physical,405.5555556,73,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,152,1989-8,7,0,Tillage,Soil,residue cover,,7,,%,LSM,mean,1,NA,NA,22,2,NA,NA,76,0.05,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,10486,Surface Residue,Physical,245.4545455,54,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
corrected,152,1989-8,8,0,Tillage,Crop Production,soybean grain yield,,8,,kg/ha,LSM,mean,1,NA,NA,2270,2,NA,NA,2630,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,14079,Soybean,Yield,15.85903084,360,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
corrected,152,1989-8,8,0,Tillage,Crop Production,soybean grain yield,,8,,kg/ha,LSM,mean,0,NA,NA,2550,1,NA,NA,2270,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,14150,Soybean,Yield,-10.98039216,-280,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
corrected,152,1989-8,7,0,Tillage,Crop Production,maize grain yield,,7,,kg/ha,LSM,mean,0,NA,NA,10370,1,NA,NA,11550,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,14347,Corn,Yield,11.37897782,1180,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
corrected,152,1989-8,7,0,Tillage,Crop Production,maize grain yield,,7,,kg/ha,LSM,mean,0,NA,NA,10370,2,NA,NA,11600,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,14348,Corn,Yield,11.8611379,1230,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,152,1989-8,7,0,Tillage,Crop Production,stand count (maize),,7,,plants/ha,LSM,mean,1,NA,NA,55700,2,NA,NA,58800,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,14442,Seedling Density (Corn),Stand Count,5.565529623,3100,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,152,1989-8,7,0,Tillage,Crop Production,stand count (maize),,7,,plants/ha,LSM,mean,0,NA,NA,62200,1,NA,NA,55700,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,14454,Seedling Density (Corn),Stand Count,-10.45016077,-6500,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,152,1989-8,7,0,Tillage,Crop Production,stand count (maize),,7,,plants/ha,LSM,mean,0,NA,NA,62200,2,NA,NA,58800,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,14455,Seedling Density (Corn),Stand Count,-5.466237942,-3400,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,152,1989-8,8,0,Tillage,Crop Production,stand count (soybean),,8,,plants/ha,LSM,mean,1,NA,NA,276700,2,NA,NA,263500,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,14478,Seedling Density (Soybean),Stand Count,-4.770509577,-13200,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,152,1989-8,8,0,Tillage,Crop Production,stand count (soybean),,8,,plants/ha,LSM,mean,0,NA,NA,309100,1,NA,NA,276700,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,14479,Seedling Density (Soybean),Stand Count,-10.48204465,-32400,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,152,1989-8,8,0,Tillage,Crop Production,stand count (soybean),,8,,plants/ha,LSM,mean,0,NA,NA,309100,2,NA,NA,263500,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,14480,Seedling Density (Soybean),Stand Count,-14.75250728,-45600,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,5,0,Tillage,Soil,residue remaining on soil from previous crop,,5,,%,LSM,mean,0,NA,NA,6,1,NA,NA,21,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,6055,Surface Residue,Physical,250,15,NA,Years 2-5,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,5,0,Tillage,Soil,residue remaining on soil from previous crop,,5,,%,LSM,mean,0,NA,NA,6,2,NA,NA,75,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,6056,Surface Residue,Physical,1150,69,NA,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,7,0,Tillage,Soil,residue remaining on soil from previous crop,,7,,%,LSM,mean,0,NA,NA,6,1,NA,NA,22,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,6058,Surface Residue,Physical,266.6666667,16,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,7,0,Tillage,Soil,residue remaining on soil from previous crop,,7,,%,LSM,mean,0,NA,NA,6,2,NA,NA,76,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,6059,Surface Residue,Physical,1166.666667,70,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,8,0,Tillage,Soil,residue remaining on soil from previous crop,,8,,%,LSM,mean,0,NA,NA,6,2,NA,NA,91,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,6061,Surface Residue,Physical,1416.666667,85,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,6,0,Tillage,Soil,residue remaining on soil from previous crop,,6,,%,LSM,mean,0,NA,NA,17,2,NA,NA,95,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,9757,Surface Residue,Physical,458.8235294,78,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,8,0,Tillage,Soil,residue remaining on soil from previous crop,,8,,%,LSM,mean,1,NA,NA,18,2,NA,NA,91,0.05,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,9930,Surface Residue,Physical,405.5555556,73,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,5,0,Tillage,Soil,residue remaining on soil from previous crop,,5,,%,LSM,mean,1,NA,NA,21,2,NA,NA,75,0.05,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,10378,Surface Residue,Physical,257.1428571,54,NA,Years 2-5,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,7,0,Tillage,Soil,residue remaining on soil from previous crop,,7,,%,LSM,mean,1,NA,NA,22,2,NA,NA,76,0.05,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,10487,Surface Residue,Physical,245.4545455,54,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,5,,plants/ha,LSM,mean,1,NA,NA,54100,2,NA,NA,55800,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,930,Seedling Density (Corn),Stand Count,3.14232902,1700,NA,Years 2-5,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,6,,plants/ha,LSM,mean,1,NA,NA,54100,2,NA,NA,55800,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,930,Seedling Density (Corn),Stand Count,3.14232902,1700,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,7,,plants/ha,LSM,mean,1,NA,NA,54100,2,NA,NA,55800,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,930,Seedling Density (Corn),Stand Count,3.14232902,1700,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,8,,plants/ha,LSM,mean,1,NA,NA,54100,2,NA,NA,55800,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,930,Seedling Density (Corn),Stand Count,3.14232902,1700,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,5,,plants/ha,LSM,mean,0,NA,NA,57500,1,NA,NA,54100,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,935,Seedling Density (Corn),Stand Count,-5.913043478,-3400,NA,Years 2-5,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,6,,plants/ha,LSM,mean,0,NA,NA,57500,1,NA,NA,54100,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,935,Seedling Density (Corn),Stand Count,-5.913043478,-3400,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,7,,plants/ha,LSM,mean,0,NA,NA,57500,1,NA,NA,54100,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,935,Seedling Density (Corn),Stand Count,-5.913043478,-3400,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,8,,plants/ha,LSM,mean,0,NA,NA,57500,1,NA,NA,54100,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,935,Seedling Density (Corn),Stand Count,-5.913043478,-3400,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,5,,plants/ha,LSM,mean,0,NA,NA,57500,2,NA,NA,55800,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,936,Seedling Density (Corn),Stand Count,-2.956521739,-1700,NA,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,6,,plants/ha,LSM,mean,0,NA,NA,57500,2,NA,NA,55800,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,936,Seedling Density (Corn),Stand Count,-2.956521739,-1700,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,7,,plants/ha,LSM,mean,0,NA,NA,57500,2,NA,NA,55800,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,936,Seedling Density (Corn),Stand Count,-2.956521739,-1700,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,maize stand count,,8,,plants/ha,LSM,mean,0,NA,NA,57500,2,NA,NA,55800,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,936,Seedling Density (Corn),Stand Count,-2.956521739,-1700,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,5,,plants/ha,LSM,mean,0,NA,NA,270000,1,NA,NA,272000,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,937,Seedling Density (Soybean),Stand Count,0.740740741,2000,NA,Years 2-5,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,6,,plants/ha,LSM,mean,0,NA,NA,270000,1,NA,NA,272000,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,937,Seedling Density (Soybean),Stand Count,0.740740741,2000,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,7,,plants/ha,LSM,mean,0,NA,NA,270000,1,NA,NA,272000,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,937,Seedling Density (Soybean),Stand Count,0.740740741,2000,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,8,,plants/ha,LSM,mean,0,NA,NA,270000,1,NA,NA,272000,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,937,Seedling Density (Soybean),Stand Count,0.740740741,2000,NA,Years 6-10,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,5,,plants/ha,LSM,mean,0,NA,NA,270000,2,NA,NA,276000,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,939,Seedling Density (Soybean),Stand Count,2.222222222,6000,NA,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,6,,plants/ha,LSM,mean,0,NA,NA,270000,2,NA,NA,276000,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,939,Seedling Density (Soybean),Stand Count,2.222222222,6000,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,7,,plants/ha,LSM,mean,0,NA,NA,270000,2,NA,NA,276000,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,939,Seedling Density (Soybean),Stand Count,2.222222222,6000,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,8,,plants/ha,LSM,mean,0,NA,NA,270000,2,NA,NA,276000,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,939,Seedling Density (Soybean),Stand Count,2.222222222,6000,NA,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,5,,plants/ha,LSM,mean,1,NA,NA,272000,2,NA,NA,276000,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,940,Seedling Density (Soybean),Stand Count,1.470588235,4000,NA,Years 2-5,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,6,,plants/ha,LSM,mean,1,NA,NA,272000,2,NA,NA,276000,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,940,Seedling Density (Soybean),Stand Count,1.470588235,4000,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,7,,plants/ha,LSM,mean,1,NA,NA,272000,2,NA,NA,276000,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,940,Seedling Density (Soybean),Stand Count,1.470588235,4000,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,154,1989-8,0,0,Tillage,Crop Production,soybean stand count,,8,,plants/ha,LSM,mean,1,NA,NA,272000,2,NA,NA,276000,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,940,Seedling Density (Soybean),Stand Count,1.470588235,4000,NA,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
ok,157,1994-4,4,0,Tillage,Soil,residue percent cover after planting (mean of maize and soybean years),,4,,%,LSM,mean,0,NA,NA,2.5,1,NA,NA,21,ns,MP_disc,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.","Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",Disk/field cultivation included fall disking (7.5-10 cm deep) after maize followed by spring field cultivation after soybean production.,Disk/field cultivation included fall disking (7.5-10 cm deep) after maize followed by spring field cultivation after soybean production.,1,2,3772,Surface Residue,Physical,740,18.5,NA,Years 2-5,Moldboard plow,Disc plow,Moldboard plow - Disc plow
ok,157,1994-4,4,0,Tillage,Soil,residue percent cover after planting (mean of maize and soybean years),,4,,%,LSM,mean,0,NA,NA,2.5,2,NA,NA,26,ns,MP_NT,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.","Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",No-tillage prior to or post planting,No-tillage prior to or post planting,1,16,3773,Surface Residue,Physical,940,23.5,NA,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,158,1995-3,0,0,Tillage,Soil,occluded particulate organic matter isotopic composition and fractional proportion of carbon derived from labeled residues,5-20 cm,1,,delta 13-C,LSM,mean,0,NA,NA,3.37,1,NA,NA,-3.67,ns,MP_NT,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.","Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",No-tillage prior to or post planting,No-tillage prior to or post planting,1,16,4716,Organic Matter,Physical,-208.9020772,-7.04,0-25 cm,Year 1,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,158,1995-3,0,0,Tillage,Soil,occluded particulate organic matter isotopic composition and fractional proportion of carbon derived from labeled residues,5-20 cm,2,,delta 13-C,LSM,mean,0,NA,NA,3.37,1,NA,NA,-3.67,ns,MP_NT,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.","Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",No-tillage prior to or post planting,No-tillage prior to or post planting,1,16,4716,Organic Matter,Physical,-208.9020772,-7.04,0-25 cm,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,158,1995-3,0,0,Tillage,Soil,occluded particulate organic matter isotopic composition and fractional proportion of carbon derived from labeled residues,5-20 cm,3,,delta 13-C,LSM,mean,0,NA,NA,3.37,1,NA,NA,-3.67,ns,MP_NT,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.","Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",No-tillage prior to or post planting,No-tillage prior to or post planting,1,16,4716,Organic Matter,Physical,-208.9020772,-7.04,0-25 cm,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
